entry,at,order
"The player ""dr. disrespect @ crFwBVVQqY"" quits the game with a stack of 0.",2024-04-26T22:10:19.907Z,171416941990700
"-- ending hand #41 --",2024-04-26T22:10:13.901Z,171416941390101
"""hrom22 @ OWq9eySVDW"" collected 6420 from pot with Pair, 10's (combination: 10♥, 10♣, K♦, Q♣, 9♥)",2024-04-26T22:10:13.901Z,171416941390100
"River: Q♣, 6♦, 9♥, 3♥ [10♣]",2024-04-26T22:10:09.890Z,171416940989000
"Turn: Q♣, 6♦, 9♥ [3♥]",2024-04-26T22:10:05.886Z,171416940588600
"Flop:  [Q♣, 6♦, 9♥]",2024-04-26T22:10:01.875Z,171416940187500
"""dr. disrespect @ crFwBVVQqY"" shows a A♠, 2♥.",2024-04-26T22:09:57.868Z,171416939786801
"""hrom22 @ OWq9eySVDW"" shows a 10♥, K♦.",2024-04-26T22:09:57.868Z,171416939786800
"""hrom22 @ OWq9eySVDW"" calls 3210",2024-04-26T22:09:57.047Z,171416939704700
"""dr. disrespect @ crFwBVVQqY"" raises to 3210 and go all in",2024-04-26T22:09:50.630Z,171416939063000
"""hrom22 @ OWq9eySVDW"" raises to 400",2024-04-26T22:09:46.856Z,171416938685600
"""dr. disrespect @ crFwBVVQqY"" calls 200",2024-04-26T22:09:41.663Z,171416938166300
"""hrom22 @ OWq9eySVDW"" posts a big blind of 200",2024-04-26T22:09:38.850Z,171416937885005
"""dr. disrespect @ crFwBVVQqY"" posts a small blind of 100",2024-04-26T22:09:38.850Z,171416937885004
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (4790) | #4 ""dr. disrespect @ crFwBVVQqY"" (3210)",2024-04-26T22:09:38.850Z,171416937885001
"-- starting hand #41 (id: ia1ys6dunwhd)  (No Limit Texas Hold'em) (dealer: ""dr. disrespect @ crFwBVVQqY"") --",2024-04-26T22:09:38.850Z,171416937885000
"-- ending hand #40 --",2024-04-26T22:09:35.942Z,171416937594202
"""hrom22 @ OWq9eySVDW"" collected 800 from pot",2024-04-26T22:09:35.942Z,171416937594201
"Uncalled bet of 600 returned to ""hrom22 @ OWq9eySVDW""",2024-04-26T22:09:35.942Z,171416937594200
"""dr. disrespect @ crFwBVVQqY"" folds",2024-04-26T22:09:35.125Z,171416937512500
"""hrom22 @ OWq9eySVDW"" bets 600",2024-04-26T22:09:33.728Z,171416937372800
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:09:26.311Z,171416936631100
"River: 6♣, 10♠, 9♥, 4♣ [2♥]",2024-04-26T22:09:25.005Z,171416936500500
"""dr. disrespect @ crFwBVVQqY"" calls 200",2024-04-26T22:09:24.171Z,171416936417100
"""hrom22 @ OWq9eySVDW"" bets 200",2024-04-26T22:09:22.723Z,171416936272300
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:09:20.330Z,171416936033000
"Turn: 6♣, 10♠, 9♥ [4♣]",2024-04-26T22:09:18.720Z,171416935872000
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:09:17.854Z,171416935785400
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:09:15.028Z,171416935502800
"Flop:  [6♣, 10♠, 9♥]",2024-04-26T22:09:12.381Z,171416935238100
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:09:11.564Z,171416935156400
"""hrom22 @ OWq9eySVDW"" calls 200",2024-04-26T22:09:09.870Z,171416934987000
"""dr. disrespect @ crFwBVVQqY"" posts a big blind of 200",2024-04-26T22:09:07.376Z,171416934737605
"""hrom22 @ OWq9eySVDW"" posts a small blind of 100",2024-04-26T22:09:07.376Z,171416934737604
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (4390) | #4 ""dr. disrespect @ crFwBVVQqY"" (3610)",2024-04-26T22:09:07.376Z,171416934737601
"-- starting hand #40 (id: g1pxm92whuda)  (No Limit Texas Hold'em) (dealer: ""hrom22 @ OWq9eySVDW"") --",2024-04-26T22:09:07.376Z,171416934737600
"-- ending hand #39 --",2024-04-26T22:09:04.420Z,171416934442002
"""dr. disrespect @ crFwBVVQqY"" collected 400 from pot",2024-04-26T22:09:04.420Z,171416934442001
"Uncalled bet of 400 returned to ""dr. disrespect @ crFwBVVQqY""",2024-04-26T22:09:04.420Z,171416934442000
"""hrom22 @ OWq9eySVDW"" folds",2024-04-26T22:09:03.580Z,171416934358000
"""dr. disrespect @ crFwBVVQqY"" raises to 600",2024-04-26T22:08:58.644Z,171416933864400
"""hrom22 @ OWq9eySVDW"" posts a big blind of 200",2024-04-26T22:08:54.548Z,171416933454805
"""dr. disrespect @ crFwBVVQqY"" posts a small blind of 100",2024-04-26T22:08:54.548Z,171416933454804
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (4590) | #4 ""dr. disrespect @ crFwBVVQqY"" (3410)",2024-04-26T22:08:54.548Z,171416933454801
"-- starting hand #39 (id: c123qmsn19we)  (No Limit Texas Hold'em) (dealer: ""dr. disrespect @ crFwBVVQqY"") --",2024-04-26T22:08:54.548Z,171416933454800
"-- ending hand #38 --",2024-04-26T22:08:51.589Z,171416933158902
"""hrom22 @ OWq9eySVDW"" collected 400 from pot",2024-04-26T22:08:51.589Z,171416933158901
"Uncalled bet of 200 returned to ""hrom22 @ OWq9eySVDW""",2024-04-26T22:08:51.589Z,171416933158900
"""dr. disrespect @ crFwBVVQqY"" folds",2024-04-26T22:08:50.763Z,171416933076300
"""hrom22 @ OWq9eySVDW"" bets 200",2024-04-26T22:08:49.443Z,171416932944300
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:08:47.496Z,171416932749600
"River: 6♥, 8♠, 3♥, 10♦ [6♠]",2024-04-26T22:08:46.248Z,171416932624800
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:08:45.431Z,171416932543100
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:08:44.306Z,171416932430600
"Turn: 6♥, 8♠, 3♥ [10♦]",2024-04-26T22:08:43.047Z,171416932304700
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:08:42.187Z,171416932218700
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:08:40.213Z,171416932021300
"Flop:  [6♥, 8♠, 3♥]",2024-04-26T22:08:38.538Z,171416931853800
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:08:37.654Z,171416931765400
"""hrom22 @ OWq9eySVDW"" calls 200",2024-04-26T22:08:36.096Z,171416931609600
"""dr. disrespect @ crFwBVVQqY"" posts a big blind of 200",2024-04-26T22:08:33.769Z,171416931376905
"""hrom22 @ OWq9eySVDW"" posts a small blind of 100",2024-04-26T22:08:33.769Z,171416931376904
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (4390) | #4 ""dr. disrespect @ crFwBVVQqY"" (3610)",2024-04-26T22:08:33.769Z,171416931376901
"-- starting hand #38 (id: tcyrahomykhk)  (No Limit Texas Hold'em) (dealer: ""hrom22 @ OWq9eySVDW"") --",2024-04-26T22:08:33.769Z,171416931376900
"-- ending hand #37 --",2024-04-26T22:08:30.839Z,171416931083902
"""dr. disrespect @ crFwBVVQqY"" collected 400 from pot",2024-04-26T22:08:30.839Z,171416931083901
"Uncalled bet of 400 returned to ""dr. disrespect @ crFwBVVQqY""",2024-04-26T22:08:30.839Z,171416931083900
"""hrom22 @ OWq9eySVDW"" folds",2024-04-26T22:08:30.006Z,171416931000600
"""dr. disrespect @ crFwBVVQqY"" bets 400",2024-04-26T22:08:27.823Z,171416930782300
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:08:24.570Z,171416930457000
"Flop:  [J♣, 2♦, 4♥]",2024-04-26T22:08:21.724Z,171416930172400
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:08:20.876Z,171416930087600
"""dr. disrespect @ crFwBVVQqY"" calls 200",2024-04-26T22:08:16.999Z,171416929699900
"""hrom22 @ OWq9eySVDW"" posts a big blind of 200",2024-04-26T22:08:11.016Z,171416929101605
"""dr. disrespect @ crFwBVVQqY"" posts a small blind of 100",2024-04-26T22:08:11.016Z,171416929101604
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (4590) | #4 ""dr. disrespect @ crFwBVVQqY"" (3410)",2024-04-26T22:08:11.016Z,171416929101601
"-- starting hand #37 (id: oetayo5hm5os)  (No Limit Texas Hold'em) (dealer: ""dr. disrespect @ crFwBVVQqY"") --",2024-04-26T22:08:11.016Z,171416929101600
"-- ending hand #36 --",2024-04-26T22:08:08.079Z,171416928807902
"""hrom22 @ OWq9eySVDW"" collected 400 from pot",2024-04-26T22:08:08.079Z,171416928807901
"Uncalled bet of 200 returned to ""hrom22 @ OWq9eySVDW""",2024-04-26T22:08:08.079Z,171416928807900
"""dr. disrespect @ crFwBVVQqY"" folds",2024-04-26T22:08:07.256Z,171416928725600
"""hrom22 @ OWq9eySVDW"" bets 200",2024-04-26T22:08:04.100Z,171416928410000
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:08:01.729Z,171416928172900
"Flop:  [7♣, 4♠, 8♦]",2024-04-26T22:07:59.802Z,171416927980200
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:07:58.992Z,171416927899200
"""hrom22 @ OWq9eySVDW"" calls 200",2024-04-26T22:07:56.259Z,171416927625900
"""dr. disrespect @ crFwBVVQqY"" posts a big blind of 200",2024-04-26T22:07:51.184Z,171416927118405
"""hrom22 @ OWq9eySVDW"" posts a small blind of 100",2024-04-26T22:07:51.184Z,171416927118404
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (4390) | #4 ""dr. disrespect @ crFwBVVQqY"" (3610)",2024-04-26T22:07:51.184Z,171416927118401
"-- starting hand #36 (id: ennuwebltsso)  (No Limit Texas Hold'em) (dealer: ""hrom22 @ OWq9eySVDW"") --",2024-04-26T22:07:51.184Z,171416927118400
"-- ending hand #35 --",2024-04-26T22:07:45.177Z,171416926517702
"""hrom22 @ OWq9eySVDW"" collected 800 from pot with Pair, 7's (combination: 7♣, 7♦, K♦, J♠, 10♠)",2024-04-26T22:07:45.177Z,171416926517701
"""hrom22 @ OWq9eySVDW"" shows a 5♠, J♠.",2024-04-26T22:07:45.177Z,171416926517700
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:07:44.338Z,171416926433800
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:07:40.984Z,171416926098400
"River: 2♣, 7♣, 10♠, 7♦ [K♦]",2024-04-26T22:07:38.559Z,171416925855900
"""hrom22 @ OWq9eySVDW"" calls 200",2024-04-26T22:07:37.729Z,171416925772900
"""dr. disrespect @ crFwBVVQqY"" bets 200",2024-04-26T22:07:34.533Z,171416925453300
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:07:30.941Z,171416925094100
"Turn: 2♣, 7♣, 10♠ [7♦]",2024-04-26T22:07:26.342Z,171416924634200
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:07:25.504Z,171416924550400
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:07:24.466Z,171416924446600
"Flop:  [2♣, 7♣, 10♠]",2024-04-26T22:07:19.321Z,171416923932100
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:07:18.504Z,171416923850400
"""dr. disrespect @ crFwBVVQqY"" calls 200",2024-04-26T22:07:14.683Z,171416923468300
"""hrom22 @ OWq9eySVDW"" posts a big blind of 200",2024-04-26T22:07:12.660Z,171416923266005
"""dr. disrespect @ crFwBVVQqY"" posts a small blind of 100",2024-04-26T22:07:12.660Z,171416923266004
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (3990) | #4 ""dr. disrespect @ crFwBVVQqY"" (4010)",2024-04-26T22:07:12.660Z,171416923266001
"-- starting hand #35 (id: rnwlz17ashix)  (No Limit Texas Hold'em) (dealer: ""dr. disrespect @ crFwBVVQqY"") --",2024-04-26T22:07:12.660Z,171416923266000
"""dr. disrespect @ crFwBVVQqY"" shows a 4♥, 9♣.",2024-04-26T22:07:08.400Z,171416922840000
"-- ending hand #34 --",2024-04-26T22:07:06.108Z,171416922610802
"""hrom22 @ OWq9eySVDW"" collected 3800 from pot with Flush, Ah High (combination: A♥, J♥, 10♥, 9♥, 3♥)",2024-04-26T22:07:06.108Z,171416922610801
"""hrom22 @ OWq9eySVDW"" shows a 8♣, 9♥.",2024-04-26T22:07:06.108Z,171416922610800
"""dr. disrespect @ crFwBVVQqY"" calls 1500",2024-04-26T22:07:05.299Z,171416922529900
"""hrom22 @ OWq9eySVDW"" bets 1500",2024-04-26T22:07:02.735Z,171416922273500
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:06:49.848Z,171416920984800
"River: 3♥, A♥, 10♥, J♥ [10♦]",2024-04-26T22:06:48.027Z,171416920802700
"""dr. disrespect @ crFwBVVQqY"" calls 200",2024-04-26T22:06:47.212Z,171416920721200
"""hrom22 @ OWq9eySVDW"" bets 200",2024-04-26T22:06:43.790Z,171416920379000
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:06:39.631Z,171416919963100
"Turn: 3♥, A♥, 10♥ [J♥]",2024-04-26T22:06:37.614Z,171416919761400
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:06:36.754Z,171416919675400
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:06:33.995Z,171416919399500
"Flop:  [3♥, A♥, 10♥]",2024-04-26T22:06:30.810Z,171416919081000
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:06:29.922Z,171416918992200
"""hrom22 @ OWq9eySVDW"" calls 200",2024-04-26T22:06:28.140Z,171416918814000
"""dr. disrespect @ crFwBVVQqY"" posts a big blind of 200",2024-04-26T22:06:25.630Z,171416918563005
"""hrom22 @ OWq9eySVDW"" posts a small blind of 100",2024-04-26T22:06:25.630Z,171416918563004
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (2090) | #4 ""dr. disrespect @ crFwBVVQqY"" (5910)",2024-04-26T22:06:25.630Z,171416918563001
"-- starting hand #34 (id: si2lnlar5xq7)  (No Limit Texas Hold'em) (dealer: ""hrom22 @ OWq9eySVDW"") --",2024-04-26T22:06:25.630Z,171416918563000
"-- ending hand #33 --",2024-04-26T22:06:22.707Z,171416918270702
"""hrom22 @ OWq9eySVDW"" collected 200 from pot",2024-04-26T22:06:22.707Z,171416918270701
"Uncalled bet of 100 returned to ""hrom22 @ OWq9eySVDW""",2024-04-26T22:06:22.707Z,171416918270700
"""dr. disrespect @ crFwBVVQqY"" folds",2024-04-26T22:06:21.842Z,171416918184200
"""hrom22 @ OWq9eySVDW"" posts a big blind of 200",2024-04-26T22:06:17.822Z,171416917782207
"""dr. disrespect @ crFwBVVQqY"" posts a small blind of 100",2024-04-26T22:06:17.822Z,171416917782206
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (1990) | #4 ""dr. disrespect @ crFwBVVQqY"" (6010)",2024-04-26T22:06:17.822Z,171416917782203
"-- starting hand #33 (id: xfeuhmaszbhj)  (No Limit Texas Hold'em) (dealer: ""dr. disrespect @ crFwBVVQqY"") --",2024-04-26T22:06:17.822Z,171416917782202
"The game's big blind was changed from 150 to 200.",2024-04-26T22:06:17.822Z,171416917782201
"The game's small blind was changed from 75 to 100.",2024-04-26T22:06:17.822Z,171416917782200
"-- ending hand #32 --",2024-04-26T22:06:11.805Z,171416917180501
"""dr. disrespect @ crFwBVVQqY"" collected 6010 from pot with Pair, 9's (combination: 9♥, 9♣, Q♥, 8♠, 7♣)",2024-04-26T22:06:11.805Z,171416917180500
"River: 2♥, 8♠, 7♣, Q♥ [3♣]",2024-04-26T22:06:07.794Z,171416916779400
"""dr. disrespect @ crFwBVVQqY"" shows a 9♥, 9♣.",2024-04-26T22:06:03.744Z,171416916374401
"""hrom22 @ OWq9eySVDW"" shows a A♦, 3♦.",2024-04-26T22:06:03.744Z,171416916374400
"""hrom22 @ OWq9eySVDW"" calls 1655",2024-04-26T22:06:02.913Z,171416916291300
"""dr. disrespect @ crFwBVVQqY"" bets 1655 and go all in",2024-04-26T22:05:54.941Z,171416915494100
"Turn: 2♥, 8♠, 7♣ [Q♥]",2024-04-26T22:05:52.052Z,171416915205200
"""hrom22 @ OWq9eySVDW"" calls 900",2024-04-26T22:05:51.195Z,171416915119500
"""dr. disrespect @ crFwBVVQqY"" bets 900",2024-04-26T22:05:49.184Z,171416914918400
"Flop:  [2♥, 8♠, 7♣]",2024-04-26T22:05:44.236Z,171416914423600
"""hrom22 @ OWq9eySVDW"" calls 450",2024-04-26T22:05:43.415Z,171416914341500
"""dr. disrespect @ crFwBVVQqY"" raises to 450",2024-04-26T22:05:41.210Z,171416914121000
"""hrom22 @ OWq9eySVDW"" calls 150",2024-04-26T22:05:37.691Z,171416913769100
"""dr. disrespect @ crFwBVVQqY"" posts a big blind of 150",2024-04-26T22:05:35.102Z,171416913510206
"""hrom22 @ OWq9eySVDW"" posts a small blind of 75",2024-04-26T22:05:35.102Z,171416913510205
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (4995) | #4 ""dr. disrespect @ crFwBVVQqY"" (3005)",2024-04-26T22:05:35.102Z,171416913510202
"-- starting hand #32 (id: sehfrqn4qnmr)  (No Limit Texas Hold'em) (dealer: ""hrom22 @ OWq9eySVDW"") --",2024-04-26T22:05:35.102Z,171416913510201
"The player ""smashthategg @ nL7UOwiHi4"" quits the game with a stack of 0.",2024-04-26T22:05:35.102Z,171416913510200
"-- ending hand #31 --",2024-04-26T22:05:29.092Z,171416912909201
"""dr. disrespect @ crFwBVVQqY"" collected 995 from pot with Two Pair, A's & 6's (combination: A♥, A♦, 6♦, 6♣, J♥)",2024-04-26T22:05:29.092Z,171416912909200
"River: A♥, 10♦, A♦, 6♣ [J♥]",2024-04-26T22:05:25.084Z,171416912508400
"Turn: A♥, 10♦, A♦ [6♣]",2024-04-26T22:05:21.063Z,171416912106300
"Flop:  [A♥, 10♦, A♦]",2024-04-26T22:05:17.054Z,171416911705400
"""smashthategg @ nL7UOwiHi4"" shows a K♣, 9♠.",2024-04-26T22:05:13.050Z,171416911305001
"""dr. disrespect @ crFwBVVQqY"" shows a 7♦, 6♦.",2024-04-26T22:05:13.050Z,171416911305000
"""dr. disrespect @ crFwBVVQqY"" calls 460",2024-04-26T22:05:12.220Z,171416911222000
"""hrom22 @ OWq9eySVDW"" folds",2024-04-26T22:05:00.595Z,171416910059500
"""smashthategg @ nL7UOwiHi4"" raises to 460 and go all in",2024-04-26T22:04:56.000Z,171416909600000
"""dr. disrespect @ crFwBVVQqY"" posts a big blind of 150",2024-04-26T22:04:47.813Z,171416908781306
"""hrom22 @ OWq9eySVDW"" posts a small blind of 75",2024-04-26T22:04:47.813Z,171416908781305
"Your hand is K♣, 9♠",2024-04-26T22:04:47.813Z,171416908781304
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (5070) | #4 ""dr. disrespect @ crFwBVVQqY"" (2470) | #5 ""smashthategg @ nL7UOwiHi4"" (460)",2024-04-26T22:04:47.813Z,171416908781301
"-- starting hand #31 (id: 9hrs3serbain)  (No Limit Texas Hold'em) (dealer: ""smashthategg @ nL7UOwiHi4"") --",2024-04-26T22:04:47.813Z,171416908781300
"-- ending hand #30 --",2024-04-26T22:04:44.896Z,171416908489602
"""hrom22 @ OWq9eySVDW"" collected 150 from pot",2024-04-26T22:04:44.896Z,171416908489601
"Uncalled bet of 75 returned to ""hrom22 @ OWq9eySVDW""",2024-04-26T22:04:44.896Z,171416908489600
"""smashthategg @ nL7UOwiHi4"" folds",2024-04-26T22:04:44.021Z,171416908402100
"""dr. disrespect @ crFwBVVQqY"" folds",2024-04-26T22:04:43.140Z,171416908314000
"""hrom22 @ OWq9eySVDW"" posts a big blind of 150",2024-04-26T22:04:41.744Z,171416908174406
"""smashthategg @ nL7UOwiHi4"" posts a small blind of 75",2024-04-26T22:04:41.744Z,171416908174405
"Your hand is 3♥, 5♦",2024-04-26T22:04:41.744Z,171416908174404
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (4995) | #4 ""dr. disrespect @ crFwBVVQqY"" (2470) | #5 ""smashthategg @ nL7UOwiHi4"" (535)",2024-04-26T22:04:41.744Z,171416908174401
"-- starting hand #30 (id: xgolbweoeicd)  (No Limit Texas Hold'em) (dealer: ""dr. disrespect @ crFwBVVQqY"") --",2024-04-26T22:04:41.744Z,171416908174400
"-- ending hand #29 --",2024-04-26T22:04:35.730Z,171416907573003
"""smashthategg @ nL7UOwiHi4"" shows a K♠, 3♠.",2024-04-26T22:04:35.730Z,171416907573002
"""hrom22 @ OWq9eySVDW"" collected 1050 from pot with A High (combination: A♦, K♥, J♦, 9♦, 7♠)",2024-04-26T22:04:35.730Z,171416907573001
"""hrom22 @ OWq9eySVDW"" shows a K♥, 9♦.",2024-04-26T22:04:35.730Z,171416907573000
"""hrom22 @ OWq9eySVDW"" calls 150",2024-04-26T22:04:34.901Z,171416907490100
"""smashthategg @ nL7UOwiHi4"" bets 150",2024-04-26T22:04:29.359Z,171416906935900
"River: J♦, 5♠, 4♥, A♦ [7♠]",2024-04-26T22:04:24.869Z,171416906486900
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:04:24.053Z,171416906405300
"""smashthategg @ nL7UOwiHi4"" checks",2024-04-26T22:04:23.007Z,171416906300700
"Turn: J♦, 5♠, 4♥ [A♦]",2024-04-26T22:04:17.458Z,171416905745800
"""dr. disrespect @ crFwBVVQqY"" folds",2024-04-26T22:04:16.626Z,171416905662600
"""hrom22 @ OWq9eySVDW"" calls 150",2024-04-26T22:04:05.570Z,171416904557000
"""smashthategg @ nL7UOwiHi4"" bets 150",2024-04-26T22:04:02.524Z,171416904252400
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:03:54.673Z,171416903467300
"Flop:  [J♦, 5♠, 4♥]",2024-04-26T22:03:49.651Z,171416902965100
"""smashthategg @ nL7UOwiHi4"" checks",2024-04-26T22:03:48.833Z,171416902883300
"""dr. disrespect @ crFwBVVQqY"" calls 150",2024-04-26T22:03:39.792Z,171416901979200
"""hrom22 @ OWq9eySVDW"" calls 150",2024-04-26T22:03:38.196Z,171416901819600
"""smashthategg @ nL7UOwiHi4"" posts a big blind of 150",2024-04-26T22:03:33.565Z,171416901356506
"""dr. disrespect @ crFwBVVQqY"" posts a small blind of 75",2024-04-26T22:03:33.565Z,171416901356505
"Your hand is K♠, 3♠",2024-04-26T22:03:33.565Z,171416901356504
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (4395) | #4 ""dr. disrespect @ crFwBVVQqY"" (2620) | #5 ""smashthategg @ nL7UOwiHi4"" (985)",2024-04-26T22:03:33.565Z,171416901356501
"-- starting hand #29 (id: dpsofzuvhssd)  (No Limit Texas Hold'em) (dealer: ""hrom22 @ OWq9eySVDW"") --",2024-04-26T22:03:33.565Z,171416901356500
"-- ending hand #28 --",2024-04-26T22:03:30.642Z,171416901064202
"""hrom22 @ OWq9eySVDW"" collected 900 from pot",2024-04-26T22:03:30.642Z,171416901064201
"Uncalled bet of 2266 returned to ""hrom22 @ OWq9eySVDW""",2024-04-26T22:03:30.642Z,171416901064200
"""dr. disrespect @ crFwBVVQqY"" folds",2024-04-26T22:03:29.805Z,171416900980500
"""hrom22 @ OWq9eySVDW"" bets 2266",2024-04-26T22:03:27.631Z,171416900763100
"River: 4♣, 5♥, 4♦, J♦ [2♠]",2024-04-26T22:03:20.484Z,171416900048400
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:03:19.643Z,171416899964300
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:03:16.995Z,171416899699500
"Turn: 4♣, 5♥, 4♦ [J♦]",2024-04-26T22:03:13.538Z,171416899353800
"""hrom22 @ OWq9eySVDW"" calls 300",2024-04-26T22:03:12.687Z,171416899268700
"""dr. disrespect @ crFwBVVQqY"" bets 300",2024-04-26T22:03:06.664Z,171416898666400
"""hrom22 @ OWq9eySVDW"" checks",2024-04-26T22:03:03.165Z,171416898316500
"Flop:  [4♣, 5♥, 4♦]",2024-04-26T22:02:58.919Z,171416897891900
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:02:58.069Z,171416897806900
"""hrom22 @ OWq9eySVDW"" calls 150",2024-04-26T22:02:55.288Z,171416897528800
"""smashthategg @ nL7UOwiHi4"" folds",2024-04-26T22:02:52.837Z,171416897283700
"""dr. disrespect @ crFwBVVQqY"" posts a big blind of 150",2024-04-26T22:02:51.458Z,171416897145806
"""hrom22 @ OWq9eySVDW"" posts a small blind of 75",2024-04-26T22:02:51.458Z,171416897145805
"Your hand is Q♠, 3♥",2024-04-26T22:02:51.458Z,171416897145804
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (3945) | #4 ""dr. disrespect @ crFwBVVQqY"" (3070) | #5 ""smashthategg @ nL7UOwiHi4"" (985)",2024-04-26T22:02:51.458Z,171416897145801
"-- starting hand #28 (id: affand1mhaqf)  (No Limit Texas Hold'em) (dealer: ""smashthategg @ nL7UOwiHi4"") --",2024-04-26T22:02:51.458Z,171416897145800
"-- ending hand #27 --",2024-04-26T22:02:48.546Z,171416896854602
"""smashthategg @ nL7UOwiHi4"" collected 300 from pot",2024-04-26T22:02:48.546Z,171416896854601
"Uncalled bet of 685 returned to ""smashthategg @ nL7UOwiHi4""",2024-04-26T22:02:48.546Z,171416896854600
"""hrom22 @ OWq9eySVDW"" folds",2024-04-26T22:02:47.722Z,171416896772200
"""smashthategg @ nL7UOwiHi4"" raises to 835 and go all in",2024-04-26T22:02:38.125Z,171416895812500
"""dr. disrespect @ crFwBVVQqY"" folds",2024-04-26T22:02:34.443Z,171416895444300
"""hrom22 @ OWq9eySVDW"" posts a big blind of 150",2024-04-26T22:02:32.531Z,171416895253106
"""smashthategg @ nL7UOwiHi4"" posts a small blind of 75",2024-04-26T22:02:32.531Z,171416895253105
"Your hand is K♥, 6♠",2024-04-26T22:02:32.531Z,171416895253104
"Player stacks: #3 ""hrom22 @ OWq9eySVDW"" (4095) | #4 ""dr. disrespect @ crFwBVVQqY"" (3070) | #5 ""smashthategg @ nL7UOwiHi4"" (835)",2024-04-26T22:02:32.531Z,171416895253101
"-- starting hand #27 (id: xy6icr3jbwc9)  (No Limit Texas Hold'em) (dealer: ""dr. disrespect @ crFwBVVQqY"") --",2024-04-26T22:02:32.531Z,171416895253100
"-- ending hand #26 --",2024-04-26T22:02:29.618Z,171416894961802
"""hrom22 @ OWq9eySVDW"" collected 450 from pot",2024-04-26T22:02:29.618Z,171416894961801
"Uncalled bet of 150 returned to ""hrom22 @ OWq9eySVDW""",2024-04-26T22:02:29.618Z,171416894961800
"""smashthategg @ nL7UOwiHi4"" folds",2024-04-26T22:02:28.736Z,171416894873600
"""dr. disrespect @ crFwBVVQqY"" folds",2024-04-26T22:02:26.576Z,171416894657600
"""hrom22 @ OWq9eySVDW"" bets 150",2024-04-26T22:02:21.674Z,171416894167400
"""smashthategg @ nL7UOwiHi4"" checks",2024-04-26T22:02:19.454Z,171416893945400
"""dr. disrespect @ crFwBVVQqY"" checks",2024-04-26T22:02:18.368Z,171416893836800
"Flop:  [9♠, 9♥, K♠]",2024-04-26T22:02:15.522Z,171416893552200
"""smashthategg @ nL7UOwiHi4"" checks",2024-04-26T22:02:14.683Z,171416893468300
"""dr. disrespect @ crFwBVVQqY"" calls 150",2024-04-26T22:02:13.803Z,171416893380300
"""hrom22 @ OWq9eySVDW"" calls 150",2024-04-26T22:02:12.646Z,171416893264600
"""smashthategg @ nL7UOwiHi4"" posts a big blind of 150",2024-04-26T22:02:10.520Z,171416893052006
"""dr. disrespect @ crFwBVVQqY"" posts a small blind of 75",2024-04-26T22:02:10.520Z,171416893052005
