entry,at,order
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T07:00:52.509Z,170383325250900
"Flop:  [9♥, 2♥, K♠]",2023-12-29T07:00:50.502Z,170383325050200
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T07:00:49.683Z,170383324968300
"""🆁🅸🆇 @ oRqSMSWW61"" folds",2023-12-29T07:00:47.682Z,170383324768200
"""Shawnkemp40 @ QXdSGW8z2a"" calls 150",2023-12-29T07:00:46.762Z,170383324676200
"""Selva117 @ fIFOdHg25o"" posts a big blind of 150",2023-12-29T07:00:44.762Z,170383324476207
"""🆁🅸🆇 @ oRqSMSWW61"" posts a small blind of 75",2023-12-29T07:00:44.762Z,170383324476206
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (535) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (3520) | #4 ""Selva117 @ fIFOdHg25o"" (3945)",2023-12-29T07:00:44.762Z,170383324476202
"-- starting hand #30 (id: q0xqcyzjhvml)  (No Limit Texas Hold'em) (dealer: ""Shawnkemp40 @ QXdSGW8z2a"") --",2023-12-29T07:00:44.762Z,170383324476201
"The player ""smashthategg @ nL7UOwiHi4"" quits the game with a stack of 0.",2023-12-29T07:00:44.762Z,170383324476200
"""Selva117 @ fIFOdHg25o"" shows a 7♠, K♥.",2023-12-29T07:00:38.984Z,170383323898400
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 6♦, 2♠.",2023-12-29T07:00:37.951Z,170383323795100
"-- ending hand #29 --",2023-12-29T07:00:37.756Z,170383323775601
"""🆁🅸🆇 @ oRqSMSWW61"" collected 765 from pot with A High (combination: A♣, K♦, Q♣, 8♣, 5♠)",2023-12-29T07:00:37.756Z,170383323775600
"River: 2♣, 3♠, 5♠, A♣ [Q♣]",2023-12-29T07:00:33.673Z,170383323367300
"Turn: 2♣, 3♠, 5♠ [A♣]",2023-12-29T07:00:29.651Z,170383322965100
"Flop:  [2♣, 3♠, 5♠]",2023-12-29T07:00:25.549Z,170383322554900
"""smashthategg @ nL7UOwiHi4"" shows a J♠, 9♦.",2023-12-29T07:00:21.542Z,170383322154201
"""🆁🅸🆇 @ oRqSMSWW61"" shows a K♦, 8♣.",2023-12-29T07:00:21.542Z,170383322154200
"""🆁🅸🆇 @ oRqSMSWW61"" calls 345",2023-12-29T07:00:20.737Z,170383322073700
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2023-12-29T07:00:11.435Z,170383321143500
"""smashthategg @ nL7UOwiHi4"" raises to 345 and go all in",2023-12-29T07:00:10.526Z,170383321052600
"""Selva117 @ fIFOdHg25o"" folds",2023-12-29T07:00:05.599Z,170383320559900
"""🆁🅸🆇 @ oRqSMSWW61"" posts a big blind of 150",2023-12-29T07:00:03.313Z,170383320331307
"""Shawnkemp40 @ QXdSGW8z2a"" posts a small blind of 75",2023-12-29T07:00:03.313Z,170383320331306
"Your hand is J♠, 9♦",2023-12-29T07:00:03.313Z,170383320331305
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (610) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (3100) | #4 ""Selva117 @ fIFOdHg25o"" (3945) | #7 ""smashthategg @ nL7UOwiHi4"" (345)",2023-12-29T07:00:03.313Z,170383320331301
"-- starting hand #29 (id: q5pc4gshjtv0)  (No Limit Texas Hold'em) (dealer: ""smashthategg @ nL7UOwiHi4"") --",2023-12-29T07:00:03.313Z,170383320331300
"""Selva117 @ fIFOdHg25o"" shows a J♣, Q♠.",2023-12-29T07:00:00.237Z,170383320023700
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 4♣, 3♥.",2023-12-29T06:59:59.363Z,170383319936300
"-- ending hand #28 --",2023-12-29T06:59:58.992Z,170383319899201
"""Selva117 @ fIFOdHg25o"" collected 375 from pot",2023-12-29T06:59:58.992Z,170383319899200
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2023-12-29T06:59:58.161Z,170383319816100
"River: 9♠, 8♣, 2♦, Q♥ [8♦]",2023-12-29T06:59:55.328Z,170383319532800
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T06:59:54.507Z,170383319450700
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2023-12-29T06:59:52.658Z,170383319265800
"Turn: 9♠, 8♣, 2♦ [Q♥]",2023-12-29T06:59:52.187Z,170383319218700
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T06:59:51.344Z,170383319134400
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2023-12-29T06:59:49.261Z,170383318926100
"Flop:  [9♠, 8♣, 2♦]",2023-12-29T06:59:47.870Z,170383318787000
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2023-12-29T06:59:47.065Z,170383318706500
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-29T06:59:43.861Z,170383318386100
"""Selva117 @ fIFOdHg25o"" calls 150",2023-12-29T06:59:42.936Z,170383318293600
"""🆁🅸🆇 @ oRqSMSWW61"" folds",2023-12-29T06:59:37.783Z,170383317778300
"""Shawnkemp40 @ QXdSGW8z2a"" posts a big blind of 150",2023-12-29T06:59:35.854Z,170383317585409
"""smashthategg @ nL7UOwiHi4"" posts a small blind of 75",2023-12-29T06:59:35.854Z,170383317585408
"Your hand is 5♠, 9♣",2023-12-29T06:59:35.854Z,170383317585407
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (760) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (3100) | #4 ""Selva117 @ fIFOdHg25o"" (3720) | #7 ""smashthategg @ nL7UOwiHi4"" (420)",2023-12-29T06:59:35.854Z,170383317585403
"-- starting hand #28 (id: a7zrsyxpyk8s)  (No Limit Texas Hold'em) (dealer: ""Selva117 @ fIFOdHg25o"") --",2023-12-29T06:59:35.854Z,170383317585402
"The game's big blind was changed from 100 to 150.",2023-12-29T06:59:35.854Z,170383317585401
"The game's small blind was changed from 50 to 75.",2023-12-29T06:59:35.854Z,170383317585400
"-- ending hand #27 --",2023-12-29T06:59:29.845Z,170383316984501
"""Selva117 @ fIFOdHg25o"" collected 3720 from pot with Flush, Kd High (combination: K♦, J♦, 10♦, 5♦, 2♦)",2023-12-29T06:59:29.845Z,170383316984500
"River: 5♦, J♦, 2♦, 4♣ [A♣]",2023-12-29T06:59:25.761Z,170383316576100
"""Selva117 @ fIFOdHg25o"" shows a K♦, 10♦.",2023-12-29T06:59:21.750Z,170383316175001
"""🆁🅸🆇 @ oRqSMSWW61"" shows a A♦, 5♣.",2023-12-29T06:59:21.750Z,170383316175000
"""Selva117 @ fIFOdHg25o"" calls 1610 and go all in",2023-12-29T06:59:20.899Z,170383316089900
"""🆁🅸🆇 @ oRqSMSWW61"" raises to 1610",2023-12-29T06:59:19.278Z,170383315927800
"""Selva117 @ fIFOdHg25o"" raises to 300",2023-12-29T06:59:16.267Z,170383315626700
"""🆁🅸🆇 @ oRqSMSWW61"" bets 100",2023-12-29T06:59:12.094Z,170383315209400
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T06:59:10.345Z,170383315034500
"Turn: 5♦, J♦, 2♦ [4♣]",2023-12-29T06:59:08.744Z,170383314874400
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-29T06:59:07.902Z,170383314790200
"""Selva117 @ fIFOdHg25o"" calls 100",2023-12-29T06:59:06.979Z,170383314697900
"""🆁🅸🆇 @ oRqSMSWW61"" bets 100",2023-12-29T06:59:04.181Z,170383314418100
"""smashthategg @ nL7UOwiHi4"" checks",2023-12-29T06:59:01.583Z,170383314158300
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T06:58:59.420Z,170383313942000
"Flop:  [5♦, J♦, 2♦]",2023-12-29T06:58:57.356Z,170383313735600
"""smashthategg @ nL7UOwiHi4"" checks",2023-12-29T06:58:56.548Z,170383313654800
"""Selva117 @ fIFOdHg25o"" calls 100",2023-12-29T06:58:55.100Z,170383313510000
"""🆁🅸🆇 @ oRqSMSWW61"" calls 100",2023-12-29T06:58:52.481Z,170383313248100
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2023-12-29T06:58:47.647Z,170383312764700
"""smashthategg @ nL7UOwiHi4"" posts a big blind of 100",2023-12-29T06:58:45.318Z,170383312531807
"""Selva117 @ fIFOdHg25o"" posts a small blind of 50",2023-12-29T06:58:45.318Z,170383312531806
"Your hand is 7♣, 6♣",2023-12-29T06:58:45.318Z,170383312531805
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (760) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (4910) | #4 ""Selva117 @ fIFOdHg25o"" (1810) | #7 ""smashthategg @ nL7UOwiHi4"" (520)",2023-12-29T06:58:45.318Z,170383312531801
"-- starting hand #27 (id: el8urg7rgzvr)  (No Limit Texas Hold'em) (dealer: ""🆁🅸🆇 @ oRqSMSWW61"") --",2023-12-29T06:58:45.318Z,170383312531800
"-- ending hand #26 --",2023-12-29T06:58:42.321Z,170383312232102
"""Selva117 @ fIFOdHg25o"" collected 100 from pot",2023-12-29T06:58:42.321Z,170383312232101
"Uncalled bet of 50 returned to ""Selva117 @ fIFOdHg25o""",2023-12-29T06:58:42.321Z,170383312232100
"""🆁🅸🆇 @ oRqSMSWW61"" folds",2023-12-29T06:58:41.478Z,170383312147800
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2023-12-29T06:58:34.291Z,170383311429100
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-29T06:58:33.291Z,170383311329100
"""Selva117 @ fIFOdHg25o"" posts a big blind of 100",2023-12-29T06:58:31.656Z,170383311165607
"""🆁🅸🆇 @ oRqSMSWW61"" posts a small blind of 50",2023-12-29T06:58:31.656Z,170383311165606
"Your hand is 4♠, 3♦",2023-12-29T06:58:31.656Z,170383311165605
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (760) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (4960) | #4 ""Selva117 @ fIFOdHg25o"" (1760) | #7 ""smashthategg @ nL7UOwiHi4"" (520)",2023-12-29T06:58:31.656Z,170383311165601
"-- starting hand #26 (id: hb6tdlynhiiw)  (No Limit Texas Hold'em) (dealer: ""Shawnkemp40 @ QXdSGW8z2a"") --",2023-12-29T06:58:31.656Z,170383311165600
"""🆁🅸🆇 @ oRqSMSWW61"" shows a A♦, 9♦.",2023-12-29T06:58:29.065Z,170383310906500
"""Selva117 @ fIFOdHg25o"" shows a 7♣, 7♥.",2023-12-29T06:58:28.203Z,170383310820300
"-- ending hand #25 --",2023-12-29T06:58:27.293Z,170383310729302
"""🆁🅸🆇 @ oRqSMSWW61"" collected 250 from pot",2023-12-29T06:58:27.293Z,170383310729301
"Uncalled bet of 250 returned to ""🆁🅸🆇 @ oRqSMSWW61""",2023-12-29T06:58:27.293Z,170383310729300
"""Selva117 @ fIFOdHg25o"" folds",2023-12-29T06:58:26.479Z,170383310647900
"""🆁🅸🆇 @ oRqSMSWW61"" bets 250",2023-12-29T06:58:19.673Z,170383309967300
"Flop:  [3♣, A♥, Q♥]",2023-12-29T06:58:07.866Z,170383308786600
"""🆁🅸🆇 @ oRqSMSWW61"" checks",2023-12-29T06:58:07.026Z,170383308702600
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2023-12-29T06:57:54.169Z,170383307416900
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-29T06:57:52.913Z,170383307291300
"""Selva117 @ fIFOdHg25o"" calls 100",2023-12-29T06:57:50.372Z,170383307037200
"""🆁🅸🆇 @ oRqSMSWW61"" posts a big blind of 100",2023-12-29T06:57:47.952Z,170383306795207
"""Shawnkemp40 @ QXdSGW8z2a"" posts a small blind of 50",2023-12-29T06:57:47.952Z,170383306795206
"Your hand is 2♦, 10♦",2023-12-29T06:57:47.952Z,170383306795205
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (810) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (4810) | #4 ""Selva117 @ fIFOdHg25o"" (1860) | #7 ""smashthategg @ nL7UOwiHi4"" (520)",2023-12-29T06:57:47.952Z,170383306795201
"-- starting hand #25 (id: jeplh1wenepz)  (No Limit Texas Hold'em) (dead button) --",2023-12-29T06:57:47.952Z,170383306795200
"""smashthategg @ nL7UOwiHi4"" shows a A♥, 7♣.",2023-12-29T06:57:45.405Z,170383306540500
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 9♣, 9♦.",2023-12-29T06:57:44.018Z,170383306401800
"""Selva117 @ fIFOdHg25o"" shows a 10♣, A♣.",2023-12-29T06:57:43.955Z,170383306395500
"-- ending hand #24 --",2023-12-29T06:57:42.943Z,170383306294302
"""Shawnkemp40 @ QXdSGW8z2a"" collected 200 from pot",2023-12-29T06:57:42.943Z,170383306294301
"Uncalled bet of 610 returned to ""Shawnkemp40 @ QXdSGW8z2a""",2023-12-29T06:57:42.943Z,170383306294300
"""Selva117 @ fIFOdHg25o"" folds",2023-12-29T06:57:42.101Z,170383306210100
"""Shawnkemp40 @ QXdSGW8z2a"" raises to 710 and go all in",2023-12-29T06:57:35.288Z,170383305528800
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-29T06:57:32.249Z,170383305224900
"""Selva117 @ fIFOdHg25o"" calls 100",2023-12-29T06:57:07.869Z,170383302786900
"""🆁🅸🆇 @ oRqSMSWW61"" folds",2023-12-29T06:57:06.024Z,170383302602400
"""Shawnkemp40 @ QXdSGW8z2a"" posts a big blind of 100",2023-12-29T06:57:00.191Z,170383302019108
"Dead Small Blind",2023-12-29T06:57:00.191Z,170383302019107
"Your hand is A♥, 7♣",2023-12-29T06:57:00.191Z,170383302019106
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (710) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (4810) | #4 ""Selva117 @ fIFOdHg25o"" (1960) | #7 ""smashthategg @ nL7UOwiHi4"" (520)",2023-12-29T06:57:00.191Z,170383302019102
"-- starting hand #24 (id: coal1tplsuph)  (No Limit Texas Hold'em) (dealer: ""smashthategg @ nL7UOwiHi4"") --",2023-12-29T06:57:00.191Z,170383302019101
"The player ""MrTrue @ dN1Xrhy_qD"" quits the game with a stack of 0.",2023-12-29T06:57:00.191Z,170383302019100
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 2♥, Q♠.",2023-12-29T06:56:54.934Z,170383301493400
"-- ending hand #23 --",2023-12-29T06:56:53.588Z,170383301358803
"""MrTrue @ dN1Xrhy_qD"" shows a 2♦, 6♠.",2023-12-29T06:56:53.588Z,170383301358802
"""Selva117 @ fIFOdHg25o"" collected 1390 from pot with Two Pair, 10's & 3's (combination: 10♥, 10♦, 3♠, 3♦, 9♥)",2023-12-29T06:56:53.588Z,170383301358801
"""Selva117 @ fIFOdHg25o"" shows a 9♥, 10♥.",2023-12-29T06:56:53.588Z,170383301358800
"""Selva117 @ fIFOdHg25o"" calls 370",2023-12-29T06:56:52.762Z,170383301276200
"""MrTrue @ dN1Xrhy_qD"" bets 370 and go all in",2023-12-29T06:56:50.131Z,170383301013100
"River: 3♠, 10♦, 2♣, 3♦ [5♦]",2023-12-29T06:56:44.783Z,170383300478300
"""MrTrue @ dN1Xrhy_qD"" calls 100",2023-12-29T06:56:43.956Z,170383300395600
"""Selva117 @ fIFOdHg25o"" bets 100",2023-12-29T06:56:40.785Z,170383300078500
"""MrTrue @ dN1Xrhy_qD"" checks",2023-12-29T06:56:39.095Z,170383299909500
"Turn: 3♠, 10♦, 2♣ [3♦]",2023-12-29T06:56:34.363Z,170383299436300
"""MrTrue @ dN1Xrhy_qD"" calls 100",2023-12-29T06:56:33.541Z,170383299354100
"""Selva117 @ fIFOdHg25o"" bets 100",2023-12-29T06:56:28.367Z,170383298836700
"""MrTrue @ dN1Xrhy_qD"" checks",2023-12-29T06:56:26.138Z,170383298613800
"Flop:  [3♠, 10♦, 2♣]",2023-12-29T06:56:22.747Z,170383298274700
"""MrTrue @ dN1Xrhy_qD"" checks",2023-12-29T06:56:21.895Z,170383298189500
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-29T06:56:20.815Z,170383298081500
"""Selva117 @ fIFOdHg25o"" calls 100",2023-12-29T06:56:19.125Z,170383297912500
"""🆁🅸🆇 @ oRqSMSWW61"" folds",2023-12-29T06:56:09.848Z,170383296984800
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2023-12-29T06:56:02.558Z,170383296255800
"""MrTrue @ dN1Xrhy_qD"" posts a big blind of 100",2023-12-29T06:56:00.728Z,170383296072808
"""smashthategg @ nL7UOwiHi4"" posts a small blind of 50",2023-12-29T06:56:00.728Z,170383296072807
"Your hand is 5♣, J♥",2023-12-29T06:56:00.728Z,170383296072805
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (710) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (4810) | #4 ""Selva117 @ fIFOdHg25o"" (1240) | #7 ""smashthategg @ nL7UOwiHi4"" (570) | #8 ""MrTrue @ dN1Xrhy_qD"" (670)",2023-12-29T06:56:00.728Z,170383296072801
"-- starting hand #23 (id: v5viev4h0qpu)  (No Limit Texas Hold'em) (dealer: ""Selva117 @ fIFOdHg25o"") --",2023-12-29T06:56:00.728Z,170383296072800
"""MrTrue @ dN1Xrhy_qD"" shows a 7♠, 6♣.",2023-12-29T06:55:54.531Z,170383295453100
"""Shawnkemp40 @ QXdSGW8z2a"" shows a Q♦, J♣.",2023-12-29T06:55:54.272Z,170383295427200
"-- ending hand #22 --",2023-12-29T06:55:53.721Z,170383295372102
"""Selva117 @ fIFOdHg25o"" collected 500 from pot with Three of a Kind, 10's (combination: 10♥, 10♠, 10♣, K♥, J♠)",2023-12-29T06:55:53.721Z,170383295372101
"""Selva117 @ fIFOdHg25o"" shows a J♠, 10♥.",2023-12-29T06:55:53.721Z,170383295372100
"""🆁🅸🆇 @ oRqSMSWW61"" folds",2023-12-29T06:55:52.904Z,170383295290400
"""smashthategg @ nL7UOwiHi4"" calls 100",2023-12-29T06:55:35.502Z,170383293550200
"""Selva117 @ fIFOdHg25o"" bets 100",2023-12-29T06:55:33.079Z,170383293307900
"River: 10♠, 9♥, 10♣, K♥ [8♣]",2023-12-29T06:55:30.931Z,170383293093100
"""🆁🅸🆇 @ oRqSMSWW61"" checks",2023-12-29T06:55:30.072Z,170383293007200
"""smashthategg @ nL7UOwiHi4"" checks",2023-12-29T06:55:14.647Z,170383291464700
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T06:55:12.284Z,170383291228400
"Turn: 10♠, 9♥, 10♣ [K♥]",2023-12-29T06:55:07.640Z,170383290764000
"""🆁🅸🆇 @ oRqSMSWW61"" checks",2023-12-29T06:55:06.759Z,170383290675900
"""smashthategg @ nL7UOwiHi4"" checks",2023-12-29T06:55:03.812Z,170383290381200
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T06:55:01.358Z,170383290135800
"Flop:  [10♠, 9♥, 10♣]",2023-12-29T06:54:58.742Z,170383289874200
"""smashthategg @ nL7UOwiHi4"" checks",2023-12-29T06:54:57.921Z,170383289792100
"""Selva117 @ fIFOdHg25o"" calls 100",2023-12-29T06:54:55.045Z,170383289504500
"""🆁🅸🆇 @ oRqSMSWW61"" calls 100",2023-12-29T06:54:51.349Z,170383289134900
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2023-12-29T06:54:43.848Z,170383288384800
"""MrTrue @ dN1Xrhy_qD"" folds",2023-12-29T06:54:42.970Z,170383288297000
"""smashthategg @ nL7UOwiHi4"" posts a big blind of 100",2023-12-29T06:54:41.041Z,170383288104108
"""Selva117 @ fIFOdHg25o"" posts a small blind of 50",2023-12-29T06:54:41.041Z,170383288104107
"Your hand is 4♠, K♣",2023-12-29T06:54:41.041Z,170383288104105
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (710) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (4910) | #4 ""Selva117 @ fIFOdHg25o"" (940) | #7 ""smashthategg @ nL7UOwiHi4"" (770) | #8 ""MrTrue @ dN1Xrhy_qD"" (670)",2023-12-29T06:54:41.041Z,170383288104101
"-- starting hand #22 (id: 4ghei5kulsxh)  (No Limit Texas Hold'em) (dealer: ""🆁🅸🆇 @ oRqSMSWW61"") --",2023-12-29T06:54:41.041Z,170383288104100
"""MrTrue @ dN1Xrhy_qD"" shows a 2♥, 9♦.",2023-12-29T06:54:34.793Z,170383287479300
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 8♣, 7♦.",2023-12-29T06:54:34.429Z,170383287442900
"-- ending hand #21 --",2023-12-29T06:54:33.985Z,170383287398501
"""Selva117 @ fIFOdHg25o"" collected 940 from pot with Two Pair, K's & 4's (combination: K♥, K♦, 4♣, 4♥, A♠)",2023-12-29T06:54:33.985Z,170383287398500
"River: A♠, 4♣, 3♥, 4♥ [5♥]",2023-12-29T06:54:29.979Z,170383286997900
"Turn: A♠, 4♣, 3♥ [4♥]",2023-12-29T06:54:25.972Z,170383286597200
"Flop:  [A♠, 4♣, 3♥]",2023-12-29T06:54:21.965Z,170383286196500
"""Selva117 @ fIFOdHg25o"" shows a K♥, K♦.",2023-12-29T06:54:17.961Z,170383285796101
"""🆁🅸🆇 @ oRqSMSWW61"" shows a 7♣, 7♥.",2023-12-29T06:54:17.961Z,170383285796100
"""Selva117 @ fIFOdHg25o"" calls 470 and go all in",2023-12-29T06:54:17.095Z,170383285709500
"""🆁🅸🆇 @ oRqSMSWW61"" raises to 470",2023-12-29T06:54:15.016Z,170383285501600
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2023-12-29T06:54:12.522Z,170383285252200
"""MrTrue @ dN1Xrhy_qD"" folds",2023-12-29T06:54:09.718Z,170383284971800
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-29T06:54:08.366Z,170383284836600
"""Selva117 @ fIFOdHg25o"" posts a big blind of 100",2023-12-29T06:54:06.811Z,170383284681110
"""🆁🅸🆇 @ oRqSMSWW61"" posts a small blind of 50",2023-12-29T06:54:06.811Z,170383284681109
"Your hand is J♣, 3♣",2023-12-29T06:54:06.811Z,170383284681107
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (710) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (5380) | #4 ""Selva117 @ fIFOdHg25o"" (470) | #7 ""smashthategg @ nL7UOwiHi4"" (770) | #8 ""MrTrue @ dN1Xrhy_qD"" (670)",2023-12-29T06:54:06.811Z,170383284681103
"-- starting hand #21 (id: qvx4xixtcdix)  (No Limit Texas Hold'em) (dealer: ""Shawnkemp40 @ QXdSGW8z2a"") --",2023-12-29T06:54:06.811Z,170383284681102
"The game's big blind was changed from 60 to 100.",2023-12-29T06:54:06.811Z,170383284681101
"The game's small blind was changed from 30 to 50.",2023-12-29T06:54:06.811Z,170383284681100
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 5♦, 4♦.",2023-12-29T06:54:04.428Z,170383284442800
"-- ending hand #20 --",2023-12-29T06:54:03.154Z,170383284315402
"""Shawnkemp40 @ QXdSGW8z2a"" collected 180 from pot",2023-12-29T06:54:03.154Z,170383284315401
"Uncalled bet of 135 returned to ""Shawnkemp40 @ QXdSGW8z2a""",2023-12-29T06:54:03.154Z,170383284315400
"""Selva117 @ fIFOdHg25o"" folds",2023-12-29T06:54:02.311Z,170383284231100
"""🆁🅸🆇 @ oRqSMSWW61"" folds",2023-12-29T06:54:01.207Z,170383284120700
"""Shawnkemp40 @ QXdSGW8z2a"" bets 135",2023-12-29T06:53:38.939Z,170383281893900
"River: 5♠, K♣, 3♦, 6♣ [2♦]",2023-12-29T06:53:35.378Z,170383281537800
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T06:53:34.511Z,170383281451100
"""🆁🅸🆇 @ oRqSMSWW61"" checks",2023-12-29T06:53:25.122Z,170383280512200
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2023-12-29T06:53:12.924Z,170383279292400
"Turn: 5♠, K♣, 3♦ [6♣]",2023-12-29T06:53:02.927Z,170383278292700
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T06:53:02.114Z,170383278211400
"""🆁🅸🆇 @ oRqSMSWW61"" checks",2023-12-29T06:53:00.925Z,170383278092500
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2023-12-29T06:52:48.428Z,170383276842800
"Flop:  [5♠, K♣, 3♦]",2023-12-29T06:52:46.218Z,170383276621800
"""🆁🅸🆇 @ oRqSMSWW61"" checks",2023-12-29T06:52:45.397Z,170383276539700
"""Shawnkemp40 @ QXdSGW8z2a"" calls 60",2023-12-29T06:52:37.035Z,170383275703500
"""MrTrue @ dN1Xrhy_qD"" folds",2023-12-29T06:52:35.399Z,170383275539900
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-29T06:52:31.017Z,170383275101700
"""Selva117 @ fIFOdHg25o"" calls 60",2023-12-29T06:52:30.089Z,170383275008900
"""🆁🅸🆇 @ oRqSMSWW61"" posts a big blind of 60",2023-12-29T06:52:28.073Z,170383274807308
"""Shawnkemp40 @ QXdSGW8z2a"" posts a small blind of 30",2023-12-29T06:52:28.073Z,170383274807307
"Your hand is 4♠, K♥",2023-12-29T06:52:28.073Z,170383274807305
"Player stacks: #1 ""Shawnkemp40 @ QXdSGW8z2a"" (590) | #2 ""🆁🅸🆇 @ oRqSMSWW61"" (5440) | #4 ""Selva117 @ fIFOdHg25o"" (530) | #7 ""smashthategg @ nL7UOwiHi4"" (770) | #8 ""MrTrue @ dN1Xrhy_qD"" (670)",2023-12-29T06:52:28.073Z,170383274807301
"-- starting hand #20 (id: xrjq8dclyerr)  (No Limit Texas Hold'em) (dealer: ""MrTrue @ dN1Xrhy_qD"") --",2023-12-29T06:52:28.073Z,170383274807300
"""Selva117 @ fIFOdHg25o"" shows a A♣, Q♥.",2023-12-29T06:52:22.757Z,170383274275700
"""Shawnkemp40 @ QXdSGW8z2a"" shows a 6♠, 5♦.",2023-12-29T06:52:22.264Z,170383274226400
"-- ending hand #19 --",2023-12-29T06:52:21.061Z,170383274106102
"""MrTrue @ dN1Xrhy_qD"" collected 420 from pot with Three of a Kind, 8's (combination: 8♥, 8♠, 8♣, A♠, K♠)",2023-12-29T06:52:21.061Z,170383274106101
"""MrTrue @ dN1Xrhy_qD"" shows a 8♥, 8♠.",2023-12-29T06:52:21.061Z,170383274106100
"""Selva117 @ fIFOdHg25o"" calls 60",2023-12-29T06:52:20.235Z,170383274023500
"""MrTrue @ dN1Xrhy_qD"" bets 60",2023-12-29T06:52:18.781Z,170383273878100
"River: 8♣, K♠, 10♦, A♠ [9♠]",2023-12-29T06:52:16.729Z,170383273672900
"""Selva117 @ fIFOdHg25o"" calls 60",2023-12-29T06:52:15.865Z,170383273586500
"""Shawnkemp40 @ QXdSGW8z2a"" folds",2023-12-29T06:52:14.023Z,170383273402300
"""MrTrue @ dN1Xrhy_qD"" bets 60",2023-12-29T06:52:13.129Z,170383273312900
"Turn: 8♣, K♠, 10♦ [A♠]",2023-12-29T06:52:11.633Z,170383273163300
"""Selva117 @ fIFOdHg25o"" checks",2023-12-29T06:52:10.784Z,170383273078400
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2023-12-29T06:52:09.426Z,170383272942600
"""MrTrue @ dN1Xrhy_qD"" checks",2023-12-29T06:52:08.459Z,170383272845900
"Flop:  [8♣, K♠, 10♦]",2023-12-29T06:52:06.119Z,170383272611900
"""Shawnkemp40 @ QXdSGW8z2a"" checks",2023-12-29T06:52:05.290Z,170383272529000
"""MrTrue @ dN1Xrhy_qD"" calls 60",2023-12-29T06:52:02.190Z,170383272219000
"""smashthategg @ nL7UOwiHi4"" folds",2023-12-29T06:52:00.395Z,170383272039500
