entry,at,order
"The player ""lkm69 @ eDEX-uECkK"" quits the game with a stack of 8000.",2024-04-26T18:46:34.683Z,171415719468300
"The player ""floppynuts @ s8o62OfXVN"" quits the game with a stack of 0.",2024-04-26T18:41:12.161Z,171415687216100
"-- ending hand #45 --",2024-04-26T18:41:06.059Z,171415686605901
"""lkm69 @ eDEX-uECkK"" collected 4870 from pot with Three of a Kind, 9's (combination: 9♣, 9♥, 9♦, A♥, J♦)",2024-04-26T18:41:06.059Z,171415686605900
"River: J♦, 2♥, A♥, 9♦ [8♠]",2024-04-26T18:41:02.052Z,171415686205200
"""floppynuts @ s8o62OfXVN"" shows a 5♣, J♣.",2024-04-26T18:40:58.047Z,171415685804701
"""lkm69 @ eDEX-uECkK"" shows a 9♣, 9♥.",2024-04-26T18:40:58.047Z,171415685804700
"""lkm69 @ eDEX-uECkK"" calls 1985",2024-04-26T18:40:57.200Z,171415685720000
"""floppynuts @ s8o62OfXVN"" bets 1985 and go all in",2024-04-26T18:40:51.586Z,171415685158600
"Turn: J♦, 2♥, A♥ [9♦]",2024-04-26T18:40:48.880Z,171415684888000
"""lkm69 @ eDEX-uECkK"" calls 300",2024-04-26T18:40:48.056Z,171415684805600
"""floppynuts @ s8o62OfXVN"" bets 300",2024-04-26T18:40:46.736Z,171415684673600
"Flop:  [J♦, 2♥, A♥]",2024-04-26T18:40:43.468Z,171415684346800
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:40:42.655Z,171415684265500
"""lkm69 @ eDEX-uECkK"" calls 150",2024-04-26T18:40:41.554Z,171415684155400
"""floppynuts @ s8o62OfXVN"" posts a big blind of 150",2024-04-26T18:40:39.366Z,171415683936605
"""lkm69 @ eDEX-uECkK"" posts a small blind of 75",2024-04-26T18:40:39.366Z,171415683936604
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (5565) | #8 ""floppynuts @ s8o62OfXVN"" (2435)",2024-04-26T18:40:39.366Z,171415683936601
"-- starting hand #45 (id: w0o522czi69i)  (No Limit Texas Hold'em) (dealer: ""lkm69 @ eDEX-uECkK"") --",2024-04-26T18:40:39.366Z,171415683936600
"-- ending hand #44 --",2024-04-26T18:40:36.457Z,171415683645702
"""lkm69 @ eDEX-uECkK"" collected 150 from pot",2024-04-26T18:40:36.457Z,171415683645701
"Uncalled bet of 75 returned to ""lkm69 @ eDEX-uECkK""",2024-04-26T18:40:36.457Z,171415683645700
"""floppynuts @ s8o62OfXVN"" folds",2024-04-26T18:40:35.620Z,171415683562000
"""lkm69 @ eDEX-uECkK"" posts a big blind of 150",2024-04-26T18:40:34.592Z,171415683459205
"""floppynuts @ s8o62OfXVN"" posts a small blind of 75",2024-04-26T18:40:34.592Z,171415683459204
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (5490) | #8 ""floppynuts @ s8o62OfXVN"" (2510)",2024-04-26T18:40:34.592Z,171415683459201
"-- starting hand #44 (id: qeymggrw7wtn)  (No Limit Texas Hold'em) (dealer: ""floppynuts @ s8o62OfXVN"") --",2024-04-26T18:40:34.592Z,171415683459200
"-- ending hand #43 --",2024-04-26T18:40:31.683Z,171415683168302
"""lkm69 @ eDEX-uECkK"" collected 600 from pot",2024-04-26T18:40:31.683Z,171415683168301
"Uncalled bet of 600 returned to ""lkm69 @ eDEX-uECkK""",2024-04-26T18:40:31.683Z,171415683168300
"""floppynuts @ s8o62OfXVN"" folds",2024-04-26T18:40:30.840Z,171415683084000
"""lkm69 @ eDEX-uECkK"" bets 600",2024-04-26T18:40:29.937Z,171415682993700
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:40:23.795Z,171415682379500
"River: 6♠, J♥, 6♦, K♦ [10♥]",2024-04-26T18:40:22.629Z,171415682262900
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:40:21.808Z,171415682180800
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:40:20.735Z,171415682073500
"Turn: 6♠, J♥, 6♦ [K♦]",2024-04-26T18:40:19.628Z,171415681962800
"""floppynuts @ s8o62OfXVN"" calls 150",2024-04-26T18:40:18.763Z,171415681876300
"""lkm69 @ eDEX-uECkK"" bets 150",2024-04-26T18:40:16.931Z,171415681693100
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:40:14.183Z,171415681418300
"Flop:  [6♠, J♥, 6♦]",2024-04-26T18:40:12.294Z,171415681229400
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:40:11.467Z,171415681146700
"""lkm69 @ eDEX-uECkK"" calls 150",2024-04-26T18:40:07.650Z,171415680765000
"""floppynuts @ s8o62OfXVN"" posts a big blind of 150",2024-04-26T18:40:06.105Z,171415680610505
"""lkm69 @ eDEX-uECkK"" posts a small blind of 75",2024-04-26T18:40:06.105Z,171415680610504
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (5190) | #8 ""floppynuts @ s8o62OfXVN"" (2810)",2024-04-26T18:40:06.105Z,171415680610501
"-- starting hand #43 (id: pftss97mayxc)  (No Limit Texas Hold'em) (dealer: ""lkm69 @ eDEX-uECkK"") --",2024-04-26T18:40:06.105Z,171415680610500
"-- ending hand #42 --",2024-04-26T18:40:03.200Z,171415680320002
"""floppynuts @ s8o62OfXVN"" collected 300 from pot",2024-04-26T18:40:03.200Z,171415680320001
"Uncalled bet of 2510 returned to ""floppynuts @ s8o62OfXVN""",2024-04-26T18:40:03.200Z,171415680320000
"""lkm69 @ eDEX-uECkK"" folds",2024-04-26T18:40:02.360Z,171415680236000
"""floppynuts @ s8o62OfXVN"" bets 2510 and go all in",2024-04-26T18:40:00.867Z,171415680086700
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:39:58.439Z,171415679843900
"Flop:  [K♣, 8♠, 8♦]",2024-04-26T18:39:56.085Z,171415679608500
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:39:55.277Z,171415679527700
"""floppynuts @ s8o62OfXVN"" calls 150",2024-04-26T18:39:54.280Z,171415679428000
"""lkm69 @ eDEX-uECkK"" posts a big blind of 150",2024-04-26T18:39:52.676Z,171415679267605
"""floppynuts @ s8o62OfXVN"" posts a small blind of 75",2024-04-26T18:39:52.676Z,171415679267604
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (5340) | #8 ""floppynuts @ s8o62OfXVN"" (2660)",2024-04-26T18:39:52.676Z,171415679267601
"-- starting hand #42 (id: s0tp2hne2znn)  (No Limit Texas Hold'em) (dealer: ""floppynuts @ s8o62OfXVN"") --",2024-04-26T18:39:52.676Z,171415679267600
"-- ending hand #41 --",2024-04-26T18:39:46.672Z,171415678667201
"""lkm69 @ eDEX-uECkK"" collected 5340 from pot with Pair, K's (combination: K♥, K♦, 10♦, 9♦, 5♠)",2024-04-26T18:39:46.672Z,171415678667200
"River: 2♥, K♦, 5♠, 4♦ [9♦]",2024-04-26T18:39:42.659Z,171415678265900
"Turn: 2♥, K♦, 5♠ [4♦]",2024-04-26T18:39:38.617Z,171415677861700
"""floppynuts @ s8o62OfXVN"" shows a Q♥, A♠.",2024-04-26T18:39:34.611Z,171415677461101
"""lkm69 @ eDEX-uECkK"" shows a 10♦, K♥.",2024-04-26T18:39:34.611Z,171415677461100
"""lkm69 @ eDEX-uECkK"" calls 2220 and go all in",2024-04-26T18:39:33.761Z,171415677376100
"""floppynuts @ s8o62OfXVN"" bets 2220",2024-04-26T18:39:32.160Z,171415677216000
"Flop:  [2♥, K♦, 5♠]",2024-04-26T18:39:29.351Z,171415676935100
"""lkm69 @ eDEX-uECkK"" calls 450",2024-04-26T18:39:28.539Z,171415676853900
"""floppynuts @ s8o62OfXVN"" raises to 450",2024-04-26T18:39:25.527Z,171415676552700
"""lkm69 @ eDEX-uECkK"" calls 150",2024-04-26T18:39:22.668Z,171415676266800
"""floppynuts @ s8o62OfXVN"" posts a big blind of 150",2024-04-26T18:39:20.339Z,171415676033905
"""lkm69 @ eDEX-uECkK"" posts a small blind of 75",2024-04-26T18:39:20.339Z,171415676033904
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (2670) | #8 ""floppynuts @ s8o62OfXVN"" (5330)",2024-04-26T18:39:20.339Z,171415676033901
"-- starting hand #41 (id: kdeehdzckgxf)  (No Limit Texas Hold'em) (dealer: ""lkm69 @ eDEX-uECkK"") --",2024-04-26T18:39:20.339Z,171415676033900
"-- ending hand #40 --",2024-04-26T18:39:17.357Z,171415675735702
"""floppynuts @ s8o62OfXVN"" collected 300 from pot",2024-04-26T18:39:17.357Z,171415675735701
"Uncalled bet of 300 returned to ""floppynuts @ s8o62OfXVN""",2024-04-26T18:39:17.357Z,171415675735700
"""lkm69 @ eDEX-uECkK"" folds",2024-04-26T18:39:16.538Z,171415675653800
"""floppynuts @ s8o62OfXVN"" bets 300",2024-04-26T18:39:15.076Z,171415675507600
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:39:12.928Z,171415675292800
"Flop:  [4♦, 10♥, K♦]",2024-04-26T18:39:09.587Z,171415674958700
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:39:08.764Z,171415674876400
"""floppynuts @ s8o62OfXVN"" calls 150",2024-04-26T18:39:07.513Z,171415674751300
"""lkm69 @ eDEX-uECkK"" posts a big blind of 150",2024-04-26T18:39:06.114Z,171415674611405
"""floppynuts @ s8o62OfXVN"" posts a small blind of 75",2024-04-26T18:39:06.114Z,171415674611404
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (2820) | #8 ""floppynuts @ s8o62OfXVN"" (5180)",2024-04-26T18:39:06.114Z,171415674611401
"-- starting hand #40 (id: oooimqoe9ck1)  (No Limit Texas Hold'em) (dealer: ""floppynuts @ s8o62OfXVN"") --",2024-04-26T18:39:06.114Z,171415674611400
"-- ending hand #39 --",2024-04-26T18:39:03.171Z,171415674317102
"""floppynuts @ s8o62OfXVN"" collected 300 from pot",2024-04-26T18:39:03.171Z,171415674317101
"Uncalled bet of 450 returned to ""floppynuts @ s8o62OfXVN""",2024-04-26T18:39:03.171Z,171415674317100
"""lkm69 @ eDEX-uECkK"" folds",2024-04-26T18:39:02.359Z,171415674235900
"""floppynuts @ s8o62OfXVN"" raises to 600",2024-04-26T18:39:00.150Z,171415674015000
"""lkm69 @ eDEX-uECkK"" calls 150",2024-04-26T18:38:57.425Z,171415673742500
"""floppynuts @ s8o62OfXVN"" posts a big blind of 150",2024-04-26T18:38:55.009Z,171415673500907
"""lkm69 @ eDEX-uECkK"" posts a small blind of 75",2024-04-26T18:38:55.009Z,171415673500906
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (2970) | #8 ""floppynuts @ s8o62OfXVN"" (5030)",2024-04-26T18:38:55.009Z,171415673500903
"-- starting hand #39 (id: 7bblmxthnamp)  (No Limit Texas Hold'em) (dealer: ""lkm69 @ eDEX-uECkK"") --",2024-04-26T18:38:55.009Z,171415673500902
"The game's big blind was changed from 100 to 150.",2024-04-26T18:38:55.009Z,171415673500901
"The game's small blind was changed from 50 to 75.",2024-04-26T18:38:55.009Z,171415673500900
"""floppynuts @ s8o62OfXVN"" shows a 7♦, 10♥.",2024-04-26T18:38:50.684Z,171415673068400
"-- ending hand #38 --",2024-04-26T18:38:48.440Z,171415672844002
"""lkm69 @ eDEX-uECkK"" collected 200 from pot with Pair, 6's (combination: 6♦, 6♠, A♥, K♦, 8♣)",2024-04-26T18:38:48.440Z,171415672844001
"""lkm69 @ eDEX-uECkK"" shows a 6♦, 7♣.",2024-04-26T18:38:48.440Z,171415672844000
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:38:47.616Z,171415672761600
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:38:46.668Z,171415672666800
"River: 8♣, A♥, K♦, 6♠ [2♦]",2024-04-26T18:38:44.638Z,171415672463800
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:38:43.830Z,171415672383000
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:38:42.881Z,171415672288100
"Turn: 8♣, A♥, K♦ [6♠]",2024-04-26T18:38:37.589Z,171415671758900
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:38:36.728Z,171415671672800
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:38:34.364Z,171415671436400
"Flop:  [8♣, A♥, K♦]",2024-04-26T18:38:32.042Z,171415671204200
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:38:31.208Z,171415671120800
"""floppynuts @ s8o62OfXVN"" calls 100",2024-04-26T18:38:30.144Z,171415671014400
"""lkm69 @ eDEX-uECkK"" posts a big blind of 100",2024-04-26T18:38:28.758Z,171415670875805
"""floppynuts @ s8o62OfXVN"" posts a small blind of 50",2024-04-26T18:38:28.758Z,171415670875804
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (2870) | #8 ""floppynuts @ s8o62OfXVN"" (5130)",2024-04-26T18:38:28.758Z,171415670875801
"-- starting hand #38 (id: yvtxj1aam6i3)  (No Limit Texas Hold'em) (dealer: ""floppynuts @ s8o62OfXVN"") --",2024-04-26T18:38:28.758Z,171415670875800
"-- ending hand #37 --",2024-04-26T18:38:22.754Z,171415670275403
"""floppynuts @ s8o62OfXVN"" shows a 2♠, J♠.",2024-04-26T18:38:22.754Z,171415670275402
"""lkm69 @ eDEX-uECkK"" collected 2870 from pot with Straight, 7 High (combination: 7♦, 6♣, 5♣, 4♠, 3♥)",2024-04-26T18:38:22.754Z,171415670275401
"""lkm69 @ eDEX-uECkK"" shows a 7♦, 3♥.",2024-04-26T18:38:22.754Z,171415670275400
"""floppynuts @ s8o62OfXVN"" calls 1035",2024-04-26T18:38:21.916Z,171415670191600
"""lkm69 @ eDEX-uECkK"" bets 1035 and go all in",2024-04-26T18:38:20.996Z,171415670099600
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:38:16.408Z,171415669640800
"River: 5♣, 6♣, 4♠, J♦ [10♠]",2024-04-26T18:38:14.547Z,171415669454700
"""floppynuts @ s8o62OfXVN"" calls 300",2024-04-26T18:38:13.731Z,171415669373100
"""lkm69 @ eDEX-uECkK"" raises to 300",2024-04-26T18:38:12.803Z,171415669280300
"""floppynuts @ s8o62OfXVN"" bets 100",2024-04-26T18:38:08.328Z,171415668832800
"Turn: 5♣, 6♣, 4♠ [J♦]",2024-04-26T18:38:06.773Z,171415668677300
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:38:05.931Z,171415668593100
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:38:03.904Z,171415668390400
"Flop:  [5♣, 6♣, 4♠]",2024-04-26T18:38:01.928Z,171415668192800
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:38:01.080Z,171415668108000
"""lkm69 @ eDEX-uECkK"" calls 100",2024-04-26T18:37:59.787Z,171415667978700
"""floppynuts @ s8o62OfXVN"" posts a big blind of 100",2024-04-26T18:37:56.830Z,171415667683005
"""lkm69 @ eDEX-uECkK"" posts a small blind of 50",2024-04-26T18:37:56.830Z,171415667683004
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (1435) | #8 ""floppynuts @ s8o62OfXVN"" (6565)",2024-04-26T18:37:56.830Z,171415667683001
"-- starting hand #37 (id: vgvzczk3vqtx)  (No Limit Texas Hold'em) (dealer: ""lkm69 @ eDEX-uECkK"") --",2024-04-26T18:37:56.830Z,171415667683000
"-- ending hand #36 --",2024-04-26T18:37:53.911Z,171415667391102
"""lkm69 @ eDEX-uECkK"" collected 200 from pot",2024-04-26T18:37:53.911Z,171415667391101
"Uncalled bet of 200 returned to ""lkm69 @ eDEX-uECkK""",2024-04-26T18:37:53.911Z,171415667391100
"""floppynuts @ s8o62OfXVN"" folds",2024-04-26T18:37:53.097Z,171415667309700
"""lkm69 @ eDEX-uECkK"" raises to 300",2024-04-26T18:37:51.171Z,171415667117100
"""floppynuts @ s8o62OfXVN"" calls 100",2024-04-26T18:37:47.754Z,171415666775400
"""lkm69 @ eDEX-uECkK"" posts a big blind of 100",2024-04-26T18:37:46.426Z,171415666642605
"""floppynuts @ s8o62OfXVN"" posts a small blind of 50",2024-04-26T18:37:46.426Z,171415666642604
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (1335) | #8 ""floppynuts @ s8o62OfXVN"" (6665)",2024-04-26T18:37:46.426Z,171415666642601
"-- starting hand #36 (id: 7frrt1dx74bd)  (No Limit Texas Hold'em) (dealer: ""floppynuts @ s8o62OfXVN"") --",2024-04-26T18:37:46.426Z,171415666642600
"-- ending hand #35 --",2024-04-26T18:37:40.421Z,171415666042102
"""floppynuts @ s8o62OfXVN"" collected 400 from pot with Pair, 5's (combination: 5♦, 5♥, 10♦, 9♠, 7♠)",2024-04-26T18:37:40.421Z,171415666042101
"""floppynuts @ s8o62OfXVN"" shows a 5♦, 7♠.",2024-04-26T18:37:40.421Z,171415666042100
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:37:39.608Z,171415665960800
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:37:37.821Z,171415665782100
"River: 3♠, 10♦, 9♠, 4♦ [5♥]",2024-04-26T18:37:36.336Z,171415665633600
"""floppynuts @ s8o62OfXVN"" calls 100",2024-04-26T18:37:35.496Z,171415665549600
"""lkm69 @ eDEX-uECkK"" bets 100",2024-04-26T18:37:34.558Z,171415665455800
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:37:33.104Z,171415665310400
"Turn: 3♠, 10♦, 9♠ [4♦]",2024-04-26T18:37:30.729Z,171415665072900
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:37:29.879Z,171415664987900
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:37:28.440Z,171415664844000
"Flop:  [3♠, 10♦, 9♠]",2024-04-26T18:37:26.638Z,171415664663800
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:37:25.800Z,171415664580000
"""lkm69 @ eDEX-uECkK"" calls 100",2024-04-26T18:37:23.850Z,171415664385000
"""floppynuts @ s8o62OfXVN"" posts a big blind of 100",2024-04-26T18:37:21.689Z,171415664168905
"""lkm69 @ eDEX-uECkK"" posts a small blind of 50",2024-04-26T18:37:21.689Z,171415664168904
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (1535) | #8 ""floppynuts @ s8o62OfXVN"" (6465)",2024-04-26T18:37:21.689Z,171415664168901
"-- starting hand #35 (id: vrrbc2430hii)  (No Limit Texas Hold'em) (dealer: ""lkm69 @ eDEX-uECkK"") --",2024-04-26T18:37:21.689Z,171415664168900
"-- ending hand #34 --",2024-04-26T18:37:18.781Z,171415663878102
"""lkm69 @ eDEX-uECkK"" collected 600 from pot",2024-04-26T18:37:18.781Z,171415663878101
"Uncalled bet of 935 returned to ""lkm69 @ eDEX-uECkK""",2024-04-26T18:37:18.781Z,171415663878100
"""floppynuts @ s8o62OfXVN"" folds",2024-04-26T18:37:17.913Z,171415663791300
"""lkm69 @ eDEX-uECkK"" bets 935 and go all in",2024-04-26T18:37:16.987Z,171415663698700
"Flop:  [7♦, K♥, A♠]",2024-04-26T18:37:12.372Z,171415663237200
"""floppynuts @ s8o62OfXVN"" calls 300",2024-04-26T18:37:11.482Z,171415663148200
"""lkm69 @ eDEX-uECkK"" raises to 300",2024-04-26T18:37:10.622Z,171415663062200
"""floppynuts @ s8o62OfXVN"" calls 100",2024-04-26T18:37:07.336Z,171415662733600
"""lkm69 @ eDEX-uECkK"" posts a big blind of 100",2024-04-26T18:37:06.157Z,171415662615705
"""floppynuts @ s8o62OfXVN"" posts a small blind of 50",2024-04-26T18:37:06.157Z,171415662615704
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (1235) | #8 ""floppynuts @ s8o62OfXVN"" (6765)",2024-04-26T18:37:06.157Z,171415662615701
"-- starting hand #34 (id: a8snlg8rzhez)  (No Limit Texas Hold'em) (dealer: ""floppynuts @ s8o62OfXVN"") --",2024-04-26T18:37:06.157Z,171415662615700
"-- ending hand #33 --",2024-04-26T18:37:00.143Z,171415662014302
"""floppynuts @ s8o62OfXVN"" collected 200 from pot with A High (combination: A♣, Q♣, J♦, 10♠, 6♥)",2024-04-26T18:37:00.143Z,171415662014301
"""floppynuts @ s8o62OfXVN"" shows a J♦, 4♣.",2024-04-26T18:37:00.143Z,171415662014300
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:36:59.253Z,171415661925300
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:36:58.204Z,171415661820400
"River: Q♣, 6♥, A♣, 10♠ [3♣]",2024-04-26T18:36:57.119Z,171415661711900
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:36:56.271Z,171415661627100
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:36:55.252Z,171415661525200
"Turn: Q♣, 6♥, A♣ [10♠]",2024-04-26T18:36:53.715Z,171415661371500
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:36:52.909Z,171415661290900
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:36:51.848Z,171415661184800
"Flop:  [Q♣, 6♥, A♣]",2024-04-26T18:36:50.161Z,171415661016100
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:36:49.344Z,171415660934400
"""lkm69 @ eDEX-uECkK"" calls 100",2024-04-26T18:36:48.422Z,171415660842200
"""floppynuts @ s8o62OfXVN"" posts a big blind of 100",2024-04-26T18:36:45.619Z,171415660561905
"""lkm69 @ eDEX-uECkK"" posts a small blind of 50",2024-04-26T18:36:45.619Z,171415660561904
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (1335) | #8 ""floppynuts @ s8o62OfXVN"" (6665)",2024-04-26T18:36:45.619Z,171415660561901
"-- starting hand #33 (id: ak14pweqdnl6)  (No Limit Texas Hold'em) (dealer: ""lkm69 @ eDEX-uECkK"") --",2024-04-26T18:36:45.619Z,171415660561900
"-- ending hand #32 --",2024-04-26T18:36:42.695Z,171415660269502
"""lkm69 @ eDEX-uECkK"" collected 100 from pot",2024-04-26T18:36:42.695Z,171415660269501
"Uncalled bet of 50 returned to ""lkm69 @ eDEX-uECkK""",2024-04-26T18:36:42.695Z,171415660269500
"""floppynuts @ s8o62OfXVN"" folds",2024-04-26T18:36:41.876Z,171415660187600
"""lkm69 @ eDEX-uECkK"" posts a big blind of 100",2024-04-26T18:36:40.748Z,171415660074805
"""floppynuts @ s8o62OfXVN"" posts a small blind of 50",2024-04-26T18:36:40.748Z,171415660074804
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (1285) | #8 ""floppynuts @ s8o62OfXVN"" (6715)",2024-04-26T18:36:40.748Z,171415660074801
"-- starting hand #32 (id: zpxljkw3q8yt)  (No Limit Texas Hold'em) (dealer: ""floppynuts @ s8o62OfXVN"") --",2024-04-26T18:36:40.748Z,171415660074800
"""floppynuts @ s8o62OfXVN"" shows a 3♥, 2♠.",2024-04-26T18:36:37.823Z,171415659782300
"-- ending hand #31 --",2024-04-26T18:36:37.087Z,171415659708702
"""lkm69 @ eDEX-uECkK"" collected 200 from pot",2024-04-26T18:36:37.087Z,171415659708701
"Uncalled bet of 200 returned to ""lkm69 @ eDEX-uECkK""",2024-04-26T18:36:37.087Z,171415659708700
"""floppynuts @ s8o62OfXVN"" folds",2024-04-26T18:36:36.236Z,171415659623600
"""lkm69 @ eDEX-uECkK"" bets 200",2024-04-26T18:36:35.290Z,171415659529000
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:36:31.969Z,171415659196900
"Turn: 5♠, 5♣, 8♠ [K♦]",2024-04-26T18:36:30.406Z,171415659040600
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:36:29.556Z,171415658955600
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:36:28.496Z,171415658849600
"Flop:  [5♠, 5♣, 8♠]",2024-04-26T18:36:26.753Z,171415658675300
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:36:25.908Z,171415658590800
"""lkm69 @ eDEX-uECkK"" calls 100",2024-04-26T18:36:25.032Z,171415658503200
"""floppynuts @ s8o62OfXVN"" posts a big blind of 100",2024-04-26T18:36:23.153Z,171415658315305
"""lkm69 @ eDEX-uECkK"" posts a small blind of 50",2024-04-26T18:36:23.153Z,171415658315304
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (1185) | #8 ""floppynuts @ s8o62OfXVN"" (6815)",2024-04-26T18:36:23.153Z,171415658315301
"-- starting hand #31 (id: j4v0rpftpcon)  (No Limit Texas Hold'em) (dealer: ""lkm69 @ eDEX-uECkK"") --",2024-04-26T18:36:23.153Z,171415658315300
"-- ending hand #30 --",2024-04-26T18:36:20.245Z,171415658024502
"""floppynuts @ s8o62OfXVN"" collected 200 from pot",2024-04-26T18:36:20.245Z,171415658024501
"Uncalled bet of 400 returned to ""floppynuts @ s8o62OfXVN""",2024-04-26T18:36:20.245Z,171415658024500
"""lkm69 @ eDEX-uECkK"" folds",2024-04-26T18:36:19.408Z,171415657940800
"""floppynuts @ s8o62OfXVN"" bets 400",2024-04-26T18:36:17.900Z,171415657790000
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:36:13.969Z,171415657396900
"Flop:  [6♥, 8♦, Q♦]",2024-04-26T18:36:09.135Z,171415656913500
"""lkm69 @ eDEX-uECkK"" checks",2024-04-26T18:36:08.302Z,171415656830200
"""floppynuts @ s8o62OfXVN"" calls 100",2024-04-26T18:36:05.989Z,171415656598900
"""lkm69 @ eDEX-uECkK"" posts a big blind of 100",2024-04-26T18:36:01.386Z,171415656138605
"""floppynuts @ s8o62OfXVN"" posts a small blind of 50",2024-04-26T18:36:01.386Z,171415656138604
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (1285) | #8 ""floppynuts @ s8o62OfXVN"" (6715)",2024-04-26T18:36:01.386Z,171415656138601
"-- starting hand #30 (id: t1dw5otpnk9e)  (No Limit Texas Hold'em) (dealer: ""floppynuts @ s8o62OfXVN"") --",2024-04-26T18:36:01.386Z,171415656138600
"-- ending hand #29 --",2024-04-26T18:35:58.449Z,171415655844902
"""lkm69 @ eDEX-uECkK"" collected 200 from pot",2024-04-26T18:35:58.449Z,171415655844901
"Uncalled bet of 100 returned to ""lkm69 @ eDEX-uECkK""",2024-04-26T18:35:58.449Z,171415655844900
"""floppynuts @ s8o62OfXVN"" folds",2024-04-26T18:35:57.632Z,171415655763200
"""lkm69 @ eDEX-uECkK"" bets 100",2024-04-26T18:35:56.656Z,171415655665600
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:35:53.768Z,171415655376800
"Flop:  [5♥, 7♥, K♦]",2024-04-26T18:35:51.843Z,171415655184300
"""floppynuts @ s8o62OfXVN"" checks",2024-04-26T18:35:51.012Z,171415655101200
"""lkm69 @ eDEX-uECkK"" calls 100",2024-04-26T18:35:50.164Z,171415655016400
"""floppynuts @ s8o62OfXVN"" posts a big blind of 100",2024-04-26T18:35:46.754Z,171415654675405
"""lkm69 @ eDEX-uECkK"" posts a small blind of 50",2024-04-26T18:35:46.754Z,171415654675404
"Player stacks: #1 ""lkm69 @ eDEX-uECkK"" (1185) | #8 ""floppynuts @ s8o62OfXVN"" (6815)",2024-04-26T18:35:46.754Z,171415654675401
"-- starting hand #29 (id: pfmgpuv2jmfn)  (No Limit Texas Hold'em) (dealer: ""lkm69 @ eDEX-uECkK"") --",2024-04-26T18:35:46.754Z,171415654675400
"-- ending hand #28 --",2024-04-26T18:35:43.840Z,171415654384002
"""lkm69 @ eDEX-uECkK"" collected 100 from pot",2024-04-26T18:35:43.840Z,171415654384001
"Uncalled bet of 50 returned to ""lkm69 @ eDEX-uECkK""",2024-04-26T18:35:43.840Z,171415654384000
"""floppynuts @ s8o62OfXVN"" folds",2024-04-26T18:35:43.015Z,171415654301500
