entry,at,order
"The player ""kalius @ uhJi3r-goh"" quits the game with a stack of 5915.",2024-04-17T21:16:55.723Z,171338861572300
"The player ""Одинокий @ IJTnbMhqJ9"" quits the game with a stack of 0.",2024-04-17T21:11:18.992Z,171338827899200
"-- ending hand #58 --",2024-04-17T21:11:12.986Z,171338827298601
"""kalius @ uhJi3r-goh"" collected 1800 from pot with Pair, J's (combination: J♦, J♣, A♥, Q♦, 8♦)",2024-04-17T21:11:12.986Z,171338827298600
"River: Q♦, 5♦, 8♦, 7♥ [J♣]",2024-04-17T21:11:08.979Z,171338826897900
"Turn: Q♦, 5♦, 8♦ [7♥]",2024-04-17T21:11:04.901Z,171338826490100
"Flop:  [Q♦, 5♦, 8♦]",2024-04-17T21:11:00.888Z,171338826088800
"""Одинокий @ IJTnbMhqJ9"" shows a 9♣, 7♠.",2024-04-17T21:10:56.882Z,171338825688201
"""kalius @ uhJi3r-goh"" shows a A♥, J♦.",2024-04-17T21:10:56.882Z,171338825688200
"""Одинокий @ IJTnbMhqJ9"" calls 900 and go all in",2024-04-17T21:10:56.071Z,171338825607100
"""kalius @ uhJi3r-goh"" raises to 900",2024-04-17T21:10:54.819Z,171338825481900
"""Одинокий @ IJTnbMhqJ9"" posts a big blind of 500",2024-04-17T21:10:51.448Z,171338825144805
"""kalius @ uhJi3r-goh"" posts a small blind of 250",2024-04-17T21:10:51.448Z,171338825144804
"Player stacks: #5 ""kalius @ uhJi3r-goh"" (5015) | #8 ""Одинокий @ IJTnbMhqJ9"" (900)",2024-04-17T21:10:51.448Z,171338825144801
"-- starting hand #58 (id: a137evtyqlbo)  (No Limit Texas Hold'em) (dealer: ""kalius @ uhJi3r-goh"") --",2024-04-17T21:10:51.448Z,171338825144800
"-- ending hand #57 --",2024-04-17T21:10:45.443Z,171338824544301
"""Одинокий @ IJTnbMhqJ9"" collected 900 from pot with Full House, 4's over K's (combination: 4♦, 4♠, 4♥, K♥, K♦)",2024-04-17T21:10:45.443Z,171338824544300
"River: K♥, 8♥, 4♠, K♦ [4♥]",2024-04-17T21:10:41.438Z,171338824143800
"Turn: K♥, 8♥, 4♠ [K♦]",2024-04-17T21:10:37.429Z,171338823742900
"Flop:  [K♥, 8♥, 4♠]",2024-04-17T21:10:33.406Z,171338823340600
"""Одинокий @ IJTnbMhqJ9"" shows a 5♠, 4♦.",2024-04-17T21:10:29.377Z,171338822937702
"""kalius @ uhJi3r-goh"" shows a 8♠, 6♦.",2024-04-17T21:10:29.377Z,171338822937701
"Uncalled bet of 50 returned to ""kalius @ uhJi3r-goh""",2024-04-17T21:10:29.377Z,171338822937700
"""Одинокий @ IJTnbMhqJ9"" calls 450 and go all in",2024-04-17T21:10:28.503Z,171338822850300
"""kalius @ uhJi3r-goh"" posts a big blind of 500",2024-04-17T21:10:25.483Z,171338822548308
"""Одинокий @ IJTnbMhqJ9"" posts a small blind of 250",2024-04-17T21:10:25.483Z,171338822548307
"Player stacks: #5 ""kalius @ uhJi3r-goh"" (5465) | #8 ""Одинокий @ IJTnbMhqJ9"" (450)",2024-04-17T21:10:25.483Z,171338822548304
"-- starting hand #57 (id: fufh3q0jlw0e)  (No Limit Texas Hold'em) (dealer: ""Одинокий @ IJTnbMhqJ9"") --",2024-04-17T21:10:25.483Z,171338822548303
"The game's big blind was changed from 300 to 500.",2024-04-17T21:10:25.483Z,171338822548302
"The game's small blind was changed from 150 to 250.",2024-04-17T21:10:25.483Z,171338822548301
"The player ""damonachey @ RxhhJpWi-r"" quits the game with a stack of 0.",2024-04-17T21:10:25.483Z,171338822548300
"-- ending hand #56 --",2024-04-17T21:10:19.479Z,171338821947902
"""kalius @ uhJi3r-goh"" collected 160 from pot with Two Pair, A's & 5's (combination: A♠, A♣, 5♦, 5♣, K♠)",2024-04-17T21:10:19.479Z,171338821947901
"""kalius @ uhJi3r-goh"" collected 210 from pot with Two Pair, A's & 5's (combination: A♠, A♣, 5♦, 5♣, K♠)",2024-04-17T21:10:19.479Z,171338821947900
"River: A♠, K♠, 9♦, A♣ [5♣]",2024-04-17T21:10:15.460Z,171338821546000
"Turn: A♠, K♠, 9♦ [A♣]",2024-04-17T21:10:11.424Z,171338821142400
"Flop:  [A♠, K♠, 9♦]",2024-04-17T21:10:07.419Z,171338820741900
"""damonachey @ RxhhJpWi-r"" shows a J♠, Q♥.",2024-04-17T21:10:03.377Z,171338820337702
"""kalius @ uhJi3r-goh"" shows a 6♥, 5♦.",2024-04-17T21:10:03.377Z,171338820337701
"Uncalled bet of 150 returned to ""kalius @ uhJi3r-goh""",2024-04-17T21:10:03.377Z,171338820337700
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-17T21:10:02.558Z,171338820255800
"""damonachey @ RxhhJpWi-r"" calls 70 and go all in",2024-04-17T21:10:01.543Z,171338820154300
"""kalius @ uhJi3r-goh"" posts a big blind of 300",2024-04-17T21:09:58.767Z,171338819876706
"""Одинокий @ IJTnbMhqJ9"" posts a small blind of 150",2024-04-17T21:09:58.767Z,171338819876705
"Player stacks: #5 ""kalius @ uhJi3r-goh"" (5245) | #6 ""damonachey @ RxhhJpWi-r"" (70) | #8 ""Одинокий @ IJTnbMhqJ9"" (600)",2024-04-17T21:09:58.767Z,171338819876701
"-- starting hand #56 (id: zuub2besumlt)  (No Limit Texas Hold'em) (dealer: ""damonachey @ RxhhJpWi-r"") --",2024-04-17T21:09:58.767Z,171338819876700
"-- ending hand #55 --",2024-04-17T21:09:52.759Z,171338819275901
"""Одинокий @ IJTnbMhqJ9"" collected 600 from pot with Pair, K's (combination: K♦, K♠, Q♣, 9♠, 8♠)",2024-04-17T21:09:52.759Z,171338819275900
"River: Q♣, 9♠, 5♣, K♠ [3♦]",2024-04-17T21:09:48.702Z,171338818870200
"Turn: Q♣, 9♠, 5♣ [K♠]",2024-04-17T21:09:44.697Z,171338818469700
"Flop:  [Q♣, 9♠, 5♣]",2024-04-17T21:09:40.694Z,171338818069400
"""Одинокий @ IJTnbMhqJ9"" shows a K♦, 8♠.",2024-04-17T21:09:36.614Z,171338817661401
"""kalius @ uhJi3r-goh"" shows a J♣, 7♠.",2024-04-17T21:09:36.614Z,171338817661400
"""damonachey @ RxhhJpWi-r"" folds",2024-04-17T21:09:35.810Z,171338817581000
"""kalius @ uhJi3r-goh"" raises to 225",2024-04-17T21:09:34.893Z,171338817489300
"""Одинокий @ IJTnbMhqJ9"" posts a big blind of 225 and go all in ",2024-04-17T21:09:31.608Z,171338817160806
"""damonachey @ RxhhJpWi-r"" posts a small blind of 150",2024-04-17T21:09:31.608Z,171338817160805
"Player stacks: #5 ""kalius @ uhJi3r-goh"" (5470) | #6 ""damonachey @ RxhhJpWi-r"" (220) | #8 ""Одинокий @ IJTnbMhqJ9"" (225)",2024-04-17T21:09:31.608Z,171338817160801
"-- starting hand #55 (id: xjgfdbrzhqdq)  (No Limit Texas Hold'em) (dealer: ""kalius @ uhJi3r-goh"") --",2024-04-17T21:09:31.608Z,171338817160800
"-- ending hand #54 --",2024-04-17T21:09:28.680Z,171338816868002
"""kalius @ uhJi3r-goh"" collected 600 from pot",2024-04-17T21:09:28.680Z,171338816868001
"Uncalled bet of 220 returned to ""kalius @ uhJi3r-goh""",2024-04-17T21:09:28.680Z,171338816868000
"""damonachey @ RxhhJpWi-r"" folds",2024-04-17T21:09:27.863Z,171338816786300
"""kalius @ uhJi3r-goh"" raises to 520",2024-04-17T21:09:22.886Z,171338816288600
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-17T21:09:17.762Z,171338815776200
"""damonachey @ RxhhJpWi-r"" posts a big blind of 300",2024-04-17T21:09:16.674Z,171338815667406
"""kalius @ uhJi3r-goh"" posts a small blind of 150",2024-04-17T21:09:16.674Z,171338815667405
"Player stacks: #5 ""kalius @ uhJi3r-goh"" (5170) | #6 ""damonachey @ RxhhJpWi-r"" (520) | #8 ""Одинокий @ IJTnbMhqJ9"" (225)",2024-04-17T21:09:16.674Z,171338815667401
"-- starting hand #54 (id: f5f7othtczqw)  (No Limit Texas Hold'em) (dealer: ""Одинокий @ IJTnbMhqJ9"") --",2024-04-17T21:09:16.674Z,171338815667400
"-- ending hand #53 --",2024-04-17T21:09:13.715Z,171338815371502
"""kalius @ uhJi3r-goh"" collected 300 from pot",2024-04-17T21:09:13.715Z,171338815371501
"Uncalled bet of 150 returned to ""kalius @ uhJi3r-goh""",2024-04-17T21:09:13.715Z,171338815371500
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-17T21:09:12.908Z,171338815290800
"""damonachey @ RxhhJpWi-r"" folds",2024-04-17T21:09:11.875Z,171338815187500
"""kalius @ uhJi3r-goh"" posts a big blind of 300",2024-04-17T21:09:10.587Z,171338815058706
"""Одинокий @ IJTnbMhqJ9"" posts a small blind of 150",2024-04-17T21:09:10.587Z,171338815058705
"Player stacks: #5 ""kalius @ uhJi3r-goh"" (5020) | #6 ""damonachey @ RxhhJpWi-r"" (520) | #8 ""Одинокий @ IJTnbMhqJ9"" (375)",2024-04-17T21:09:10.587Z,171338815058701
"-- starting hand #53 (id: apelnmc0p2wm)  (No Limit Texas Hold'em) (dealer: ""damonachey @ RxhhJpWi-r"") --",2024-04-17T21:09:10.587Z,171338815058700
"-- ending hand #52 --",2024-04-17T21:09:07.649Z,171338814764902
"""kalius @ uhJi3r-goh"" collected 750 from pot",2024-04-17T21:09:07.649Z,171338814764901
"Uncalled bet of 375 returned to ""kalius @ uhJi3r-goh""",2024-04-17T21:09:07.649Z,171338814764900
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-17T21:09:06.799Z,171338814679900
"""damonachey @ RxhhJpWi-r"" folds",2024-04-17T21:09:05.706Z,171338814570600
"""kalius @ uhJi3r-goh"" raises to 675",2024-04-17T21:09:04.835Z,171338814483500
"""Одинокий @ IJTnbMhqJ9"" posts a big blind of 300",2024-04-17T21:09:00.243Z,171338814024306
"""damonachey @ RxhhJpWi-r"" posts a small blind of 150",2024-04-17T21:09:00.243Z,171338814024305
"Player stacks: #5 ""kalius @ uhJi3r-goh"" (4570) | #6 ""damonachey @ RxhhJpWi-r"" (670) | #8 ""Одинокий @ IJTnbMhqJ9"" (675)",2024-04-17T21:09:00.243Z,171338814024301
"-- starting hand #52 (id: jymljpz63mdy)  (No Limit Texas Hold'em) (dealer: ""kalius @ uhJi3r-goh"") --",2024-04-17T21:09:00.243Z,171338814024300
"-- ending hand #51 --",2024-04-17T21:08:57.285Z,171338813728502
"""kalius @ uhJi3r-goh"" collected 600 from pot",2024-04-17T21:08:57.285Z,171338813728501
"Uncalled bet of 670 returned to ""kalius @ uhJi3r-goh""",2024-04-17T21:08:57.285Z,171338813728500
"""damonachey @ RxhhJpWi-r"" folds",2024-04-17T21:08:56.444Z,171338813644400
"""kalius @ uhJi3r-goh"" raises to 970",2024-04-17T21:08:54.023Z,171338813402300
"""Одинокий @ IJTnbMhqJ9"" folds",2024-04-17T21:08:48.748Z,171338812874800
"""damonachey @ RxhhJpWi-r"" posts a big blind of 300",2024-04-17T21:08:46.827Z,171338812682706
"""kalius @ uhJi3r-goh"" posts a small blind of 150",2024-04-17T21:08:46.827Z,171338812682705
"Player stacks: #5 ""kalius @ uhJi3r-goh"" (4270) | #6 ""damonachey @ RxhhJpWi-r"" (970) | #8 ""Одинокий @ IJTnbMhqJ9"" (675)",2024-04-17T21:08:46.827Z,171338812682701
"-- starting hand #51 (id: 6loxlqn2nvi0)  (No Limit Texas Hold'em) (dealer: ""Одинокий @ IJTnbMhqJ9"") --",2024-04-17T21:08:46.827Z,171338812682700
"-- ending hand #50 --",2024-04-17T21:08:40.783Z,171338812078301
"""kalius @ uhJi3r-goh"" collected 4270 from pot with Two Pair, 10's & 4's (combination: 10♠, 10♦, 4♦, 4♣, K♣)",2024-04-17T21:08:40.783Z,171338812078300
"River: 7♣, 4♦, 2♠, 10♦ [4♣]",2024-04-17T21:08:36.753Z,171338811675300
"Turn: 7♣, 4♦, 2♠ [10♦]",2024-04-17T21:08:32.730Z,171338811273000
"Flop:  [7♣, 4♦, 2♠]",2024-04-17T21:08:28.664Z,171338810866400
"""Одинокий @ IJTnbMhqJ9"" shows a 5♠, A♠.",2024-04-17T21:08:24.658Z,171338810465801
"""kalius @ uhJi3r-goh"" shows a K♣, 10♠.",2024-04-17T21:08:24.658Z,171338810465800
"""kalius @ uhJi3r-goh"" calls 2135 and go all in",2024-04-17T21:08:23.834Z,171338810383400
"""Одинокий @ IJTnbMhqJ9"" raises to 2135",2024-04-17T21:08:19.496Z,171338809949600
"""damonachey @ RxhhJpWi-r"" folds",2024-04-17T21:08:15.968Z,171338809596800
"""kalius @ uhJi3r-goh"" posts a big blind of 300",2024-04-17T21:08:14.557Z,171338809455706
"""Одинокий @ IJTnbMhqJ9"" posts a small blind of 150",2024-04-17T21:08:14.557Z,171338809455705
"Player stacks: #5 ""kalius @ uhJi3r-goh"" (2135) | #6 ""damonachey @ RxhhJpWi-r"" (970) | #8 ""Одинокий @ IJTnbMhqJ9"" (2810)",2024-04-17T21:08:14.557Z,171338809455701
"-- starting hand #50 (id: 7s6mmuca2yat)  (No Limit Texas Hold'em) (dealer: ""damonachey @ RxhhJpWi-r"") --",2024-04-17T21:08:14.557Z,171338809455700
"-- ending hand #49 --",2024-04-17T21:08:11.654Z,171338809165402
"""Одинокий @ IJTnbMhqJ9"" collected 300 from pot",2024-04-17T21:08:11.654Z,171338809165401
"Uncalled bet of 150 returned to ""Одинокий @ IJTnbMhqJ9""",2024-04-17T21:08:11.654Z,171338809165400
"""damonachey @ RxhhJpWi-r"" folds",2024-04-17T21:08:10.831Z,171338809083100
"""kalius @ uhJi3r-goh"" folds",2024-04-17T21:07:59.118Z,171338807911800
"""Одинокий @ IJTnbMhqJ9"" posts a big blind of 300",2024-04-17T21:07:55.035Z,171338807503507
"""damonachey @ RxhhJpWi-r"" posts a small blind of 150",2024-04-17T21:07:55.035Z,171338807503506
"Player stacks: #5 ""kalius @ uhJi3r-goh"" (2135) | #6 ""damonachey @ RxhhJpWi-r"" (1120) | #8 ""Одинокий @ IJTnbMhqJ9"" (2660)",2024-04-17T21:07:55.035Z,171338807503502
